ENSG00000014216	ENSG00000080815	ENSG00000111707	ENSG00000116032	ENSG00000117362	ENSG00000126247	ENSG00000138613	ENSG00000143801	ENSG00000153113	ENSG00000162736	ENSG00000162909	ENSG00000176749	ENSG00000176884	ENSG00000183454	ENSG00000186318	ENSG00000198785	ENSG00000205155	ENSG00000256812	ENSG00000273079
ENSG00000007314	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000168356	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000067191	ENSG00000139211	ENSG00000141837	ENSG00000148408	ENSG00000151067	ENSG00000165995	ENSG00000167535	ENSG00000182389
ENSG00000118432	ENSG00000128271	ENSG00000142319	ENSG00000149295	ENSG00000196689
ENSG00000100979	ENSG00000130203	ENSG00000137642	ENSG00000234906
ENSG00000101204	ENSG00000160716	ENSG00000163032	ENSG00000169684
ENSG00000077092	ENSG00000143171	ENSG00000172819
ENSG00000164270	ENSG00000169252	ENSG00000188778
ENSG00000005421	ENSG00000120885
ENSG00000006210	ENSG00000168329
ENSG00000010704	ENSG00000091513
ENSG00000022355	ENSG00000069696
ENSG00000043591	ENSG00000150594
ENSG00000055163	ENSG00000273749
ENSG00000073756	ENSG00000198727
ENSG00000087085	ENSG00000114200
ENSG00000095002	ENSG00000116062
ENSG00000096401	ENSG00000132792
ENSG00000102003	ENSG00000139190
ENSG00000102468	ENSG00000164082
ENSG00000105697	ENSG00000138449
ENSG00000110887	ENSG00000182346
ENSG00000112294	ENSG00000183044
ENSG00000113161	ENSG00000186480
ENSG00000113368	ENSG00000160789
ENSG00000117450	ENSG00000167815
ENSG00000122584	ENSG00000179915
ENSG00000132170	ENSG00000204231
ENSG00000136485	ENSG00000183779
ENSG00000136928	ENSG00000204681
ENSG00000137252	ENSG00000161610
ENSG00000137673	ENSG00000196611
ENSG00000138069	ENSG00000167110
ENSG00000142166	ENSG00000159110
ENSG00000159082	ENSG00000183020
ENSG00000174175	ENSG00000272398
ENSG00000196352	ENSG00000203710
