#Linkers: 
#Core	Expansion
ENSG00000014216 ENSG00000080815 ENSG00000100979 ENSG00000113070 ENSG00000115041 ENSG00000118113 ENSG00000126247 ENSG00000130203 ENSG00000132688 ENSG00000137642 ENSG00000137673 ENSG00000137845 ENSG00000138613 ENSG00000143801 ENSG00000153113 ENSG00000162736 ENSG00000162909 ENSG00000164885 ENSG00000169174 ENSG00000169862 ENSG00000176749 ENSG00000185896 ENSG00000186318 ENSG00000196611 ENSG00000205155 ENSG00000234906	
ENSG00000022355 ENSG00000094755 ENSG00000102287 ENSG00000109158 ENSG00000113327 ENSG00000115896 ENSG00000145863 ENSG00000145864 ENSG00000151834 ENSG00000163285 ENSG00000163288 ENSG00000166206 ENSG00000182256 ENSG00000186297 ENSG00000187730	
ENSG00000105675 ENSG00000186009	
ENSG00000006116 ENSG00000006283 ENSG00000007402 ENSG00000067191 ENSG00000075429 ENSG00000075461 ENSG00000081248 ENSG00000100346 ENSG00000102001 ENSG00000105464 ENSG00000105605 ENSG00000108878 ENSG00000116032 ENSG00000130433 ENSG00000141837 ENSG00000142408 ENSG00000148408 ENSG00000151062 ENSG00000151067 ENSG00000153956 ENSG00000157388 ENSG00000161509 ENSG00000165995 ENSG00000166862 ENSG00000167535 ENSG00000176884 ENSG00000182389 ENSG00000183454 ENSG00000196557 ENSG00000198216 ENSG00000198785	
ENSG00000080709 ENSG00000143603	
ENSG00000059691 ENSG00000137513	
ENSG00000043591 ENSG00000158748 ENSG00000169252 ENSG00000188778	
ENSG00000117450 ENSG00000167815	
ENSG00000091972 ENSG00000163606	
ENSG00000102468 ENSG00000120907 ENSG00000170214 ENSG00000171873	
ENSG00000081138 ENSG00000113361 ENSG00000140945 ENSG00000150394	
ENSG00000167775 ENSG00000185339	
ENSG00000101224 ENSG00000158402	
ENSG00000114923 ENSG00000167434	
ENSG00000103671 ENSG00000186350	
ENSG00000136531 ENSG00000153253 ENSG00000169432 ENSG00000183873 ENSG00000185313 ENSG00000196876	
ENSG00000133318 ENSG00000139970	
ENSG00000159640 ENSG00000180772	
ENSG00000059377 ENSG00000073756 ENSG00000095303	
ENSG00000143341 ENSG00000175161	
ENSG00000073921 ENSG00000136717	
ENSG00000136928 ENSG00000204681	
ENSG00000101856 ENSG00000113161 ENSG00000186480	
ENSG00000111424 ENSG00000132170 ENSG00000140009 ENSG00000164749	
ENSG00000005421 ENSG00000120885 ENSG00000123191 ENSG00000142185	
ENSG00000109424 ENSG00000175567	
ENSG00000122584 ENSG00000179915	
ENSG00000176887 ENSG00000198914	
ENSG00000101204 ENSG00000147434 ENSG00000160716 ENSG00000163032 ENSG00000169684 ENSG00000175344	
ENSG00000103546 ENSG00000108576	
ENSG00000090674 ENSG00000115107	
ENSG00000113368 ENSG00000160789	
ENSG00000070748 ENSG00000087085 ENSG00000114200 ENSG00000137968	
ENSG00000198763 ENSG00000198888	
