ENSG00000007908	ENSG00000010610	ENSG00000049768	ENSG00000073861	ENSG00000077238	ENSG00000091181	ENSG00000104921	ENSG00000107485	ENSG00000110876	ENSG00000111732	ENSG00000113525	ENSG00000114013	ENSG00000115604	ENSG00000120217	ENSG00000121594	ENSG00000123411	ENSG00000123496	ENSG00000125571	ENSG00000127318	ENSG00000136634	ENSG00000137496	ENSG00000145777	ENSG00000145839	ENSG00000150782	ENSG00000160223	ENSG00000160712	ENSG00000163515	ENSG00000163599	ENSG00000163600	ENSG00000164136	ENSG00000166888	ENSG00000169194	ENSG00000172349	ENSG00000174059	ENSG00000174175	ENSG00000178562	ENSG00000179344	ENSG00000188404	ENSG00000196735	ENSG00000196839	ENSG00000197635	ENSG00000197646	ENSG00000198821	ENSG00000237541
ENSG00000006116	ENSG00000006283	ENSG00000007402	ENSG00000067191	ENSG00000075429	ENSG00000075461	ENSG00000081248	ENSG00000096093	ENSG00000100346	ENSG00000102001	ENSG00000105464	ENSG00000105605	ENSG00000108878	ENSG00000116032	ENSG00000130433	ENSG00000141837	ENSG00000142408	ENSG00000148408	ENSG00000151062	ENSG00000151067	ENSG00000153956	ENSG00000157388	ENSG00000157445	ENSG00000161509	ENSG00000165995	ENSG00000166862	ENSG00000167535	ENSG00000176884	ENSG00000182389	ENSG00000183454	ENSG00000196557	ENSG00000197584	ENSG00000198216	ENSG00000198785
ENSG00000043591	ENSG00000076053	ENSG00000120907	ENSG00000128271	ENSG00000133019	ENSG00000151276	ENSG00000158987	ENSG00000168229	ENSG00000168539	ENSG00000169252	ENSG00000170214	ENSG00000170425	ENSG00000171873	ENSG00000173198	ENSG00000187258	ENSG00000188778	ENSG00000196639	ENSG00000198959
ENSG00000049130	ENSG00000068078	ENSG00000078579	ENSG00000091879	ENSG00000102678	ENSG00000113721	ENSG00000119630	ENSG00000134853	ENSG00000138606	ENSG00000151422	ENSG00000157404
ENSG00000129988	ENSG00000136869	ENSG00000137462	ENSG00000143546	ENSG00000163220	ENSG00000163430	ENSG00000170458	ENSG00000172243	ENSG00000174125	ENSG00000174130
ENSG00000092009	ENSG00000130234	ENSG00000143839	ENSG00000159640	ENSG00000163751	ENSG00000167749	ENSG00000196136	ENSG00000196549
ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000005381	ENSG00000059377	ENSG00000073756	ENSG00000095303	ENSG00000148344	ENSG00000163106
ENSG00000057252	ENSG00000100299	ENSG00000101846	ENSG00000129103	ENSG00000137714	ENSG00000140459
ENSG00000101323	ENSG00000109610	ENSG00000112096	ENSG00000112294	ENSG00000121691	ENSG00000184207
ENSG00000125735	ENSG00000157873	ENSG00000186265	ENSG00000226979	ENSG00000227507	ENSG00000243509
ENSG00000061918	ENSG00000152270	ENSG00000152402	ENSG00000164116	ENSG00000172572
ENSG00000080644	ENSG00000101204	ENSG00000117971	ENSG00000160716	ENSG00000175344
ENSG00000105650	ENSG00000113448	ENSG00000151320	ENSG00000178104	ENSG00000184588
ENSG00000150594	ENSG00000163485	ENSG00000169313	ENSG00000183134	ENSG00000184160
ENSG00000012779	ENSG00000111144	ENSG00000132965	ENSG00000213316
ENSG00000019186	ENSG00000069667	ENSG00000111012	ENSG00000111424
ENSG00000035862	ENSG00000118113	ENSG00000122707	ENSG00000196611
ENSG00000103811	ENSG00000121552	ENSG00000168878	ENSG00000203782
ENSG00000134812	ENSG00000134827	ENSG00000166126	ENSG00000168216
ENSG00000090376	ENSG00000115590	ENSG00000136689
ENSG00000101916	ENSG00000196664	ENSG00000239732
ENSG00000111335	ENSG00000138674	ENSG00000234745
ENSG00000112115	ENSG00000112116	ENSG00000177663
ENSG00000117983	ENSG00000126550	ENSG00000171195
ENSG00000120088	ENSG00000163794	ENSG00000178473
ENSG00000002726	ENSG00000150540
ENSG00000006747	ENSG00000115020
ENSG00000008256	ENSG00000074706
ENSG00000074800	ENSG00000116679
ENSG00000076864	ENSG00000132359
ENSG00000080166	ENSG00000107165
ENSG00000080819	ENSG00000143224
ENSG00000084207	ENSG00000134184
ENSG00000088832	ENSG00000101144
ENSG00000100604	ENSG00000104112
ENSG00000103707	ENSG00000228716
ENSG00000103855	ENSG00000145850
ENSG00000104918	ENSG00000113580
ENSG00000105675	ENSG00000186009
ENSG00000106952	ENSG00000120949
ENSG00000108691	ENSG00000213088
ENSG00000109943	ENSG00000182985
ENSG00000113161	ENSG00000125629
ENSG00000115602	ENSG00000137033
ENSG00000115738	ENSG00000178860
ENSG00000117335	ENSG00000203710
ENSG00000120337	ENSG00000186891
ENSG00000123453	ENSG00000172482
ENSG00000123454	ENSG00000141744
ENSG00000125726	ENSG00000139193
ENSG00000125810	ENSG00000165471
ENSG00000126759	ENSG00000178031
ENSG00000130313	ENSG00000142657
ENSG00000134321	ENSG00000160752
ENSG00000140943	ENSG00000213676
ENSG00000141736	ENSG00000178568
ENSG00000143631	ENSG00000167754
ENSG00000156738	ENSG00000204287
ENSG00000168621	ENSG00000171119
ENSG00000169385	ENSG00000214274
ENSG00000170743	ENSG00000196689
ENSG00000177575	ENSG00000257017
