ENSG00000005844	ENSG00000007312	ENSG00000010671	ENSG00000012124	ENSG00000049130	ENSG00000073754	ENSG00000073849	ENSG00000076662	ENSG00000077092	ENSG00000077238	ENSG00000084207	ENSG00000090339	ENSG00000090659	ENSG00000091513	ENSG00000092009	ENSG00000096968	ENSG00000096996	ENSG00000099985	ENSG00000100097	ENSG00000101017	ENSG00000102245	ENSG00000102962	ENSG00000102970	ENSG00000104321	ENSG00000104432	ENSG00000104921	ENSG00000105369	ENSG00000105397	ENSG00000105639	ENSG00000108700	ENSG00000108702	ENSG00000109472	ENSG00000110944	ENSG00000111424	ENSG00000112486	ENSG00000113302	ENSG00000113520	ENSG00000113580	ENSG00000114013	ENSG00000115009	ENSG00000115602	ENSG00000117560	ENSG00000118432	ENSG00000121594	ENSG00000123496	ENSG00000124334	ENSG00000126353	ENSG00000127616	ENSG00000128271	ENSG00000131759	ENSG00000134259	ENSG00000134760	ENSG00000136244	ENSG00000137033	ENSG00000137673	ENSG00000138755	ENSG00000140943	ENSG00000143171	ENSG00000143631	ENSG00000144648	ENSG00000145623	ENSG00000145777	ENSG00000145839	ENSG00000151694	ENSG00000151882	ENSG00000156738	ENSG00000160255	ENSG00000160712	ENSG00000162434	ENSG00000162692	ENSG00000162924	ENSG00000163485	ENSG00000163599	ENSG00000163737	ENSG00000164400	ENSG00000164509	ENSG00000164825	ENSG00000165409	ENSG00000167723	ENSG00000167754	ENSG00000168610	ENSG00000168685	ENSG00000168811	ENSG00000169194	ENSG00000169245	ENSG00000169248	ENSG00000169860	ENSG00000170581	ENSG00000170893	ENSG00000172156	ENSG00000172819	ENSG00000176697	ENSG00000177455	ENSG00000177697	ENSG00000178562	ENSG00000178726	ENSG00000179934	ENSG00000181374	ENSG00000183625	ENSG00000183813	ENSG00000184451	ENSG00000185652	ENSG00000186350	ENSG00000186810	ENSG00000196262	ENSG00000196611	ENSG00000196689	ENSG00000196839	ENSG00000197043	ENSG00000197249	ENSG00000197471	ENSG00000197635	ENSG00000198400	ENSG00000204231	ENSG00000204671	ENSG00000205755	ENSG00000213088	ENSG00000213927	ENSG00000225950	ENSG00000243509	ENSG00000275385	ENSG00000277632
ENSG00000115594	ENSG00000125538	ENSG00000136689	ENSG00000164946	ENSG00000182261
ENSG00000157873	ENSG00000186265	ENSG00000226979	ENSG00000227507
ENSG00000005381	ENSG00000165471	ENSG00000167768
ENSG00000006210	ENSG00000006606	ENSG00000168329
ENSG00000043591	ENSG00000150594	ENSG00000154277
ENSG00000112038	ENSG00000116329	ENSG00000144481
ENSG00000115604	ENSG00000115607	ENSG00000150782
ENSG00000126010	ENSG00000134443	ENSG00000170890
ENSG00000128567	ENSG00000164035	ENSG00000188404
ENSG00000132671	ENSG00000139874	ENSG00000157005
ENSG00000158869	ENSG00000179639	ENSG00000211891
ENSG00000163735	ENSG00000169429	ENSG00000180871
ENSG00000164047	ENSG00000171049	ENSG00000173432
ENSG00000049768	ENSG00000161405
ENSG00000088832	ENSG00000228716
ENSG00000101204	ENSG00000160716
ENSG00000101916	ENSG00000196664
ENSG00000102524	ENSG00000161955
ENSG00000104763	ENSG00000166311
ENSG00000104894	ENSG00000172243
ENSG00000105141	ENSG00000133710
ENSG00000106952	ENSG00000120949
ENSG00000109471	ENSG00000134460
ENSG00000115738	ENSG00000178860
ENSG00000116824	ENSG00000143119
ENSG00000120337	ENSG00000186891
ENSG00000143546	ENSG00000163220
ENSG00000147571	ENSG00000178473
ENSG00000160185	ENSG00000169385
ENSG00000163131	ENSG00000206073
ENSG00000163347	ENSG00000165215
ENSG00000167323	ENSG00000276045
ENSG00000168229	ENSG00000183134
ENSG00000188211	ENSG00000204475
