ENSG00000073754	ENSG00000077238	ENSG00000096968	ENSG00000099985	ENSG00000101017	ENSG00000102245	ENSG00000113520	ENSG00000123496	ENSG00000136244	ENSG00000160712	ENSG00000162434	ENSG00000162924	ENSG00000164509	ENSG00000169194	ENSG00000204671
ENSG00000077092	ENSG00000111424	ENSG00000113580	ENSG00000131759	ENSG00000143171	ENSG00000172819	ENSG00000186350	ENSG00000204231
ENSG00000110944	ENSG00000113302	ENSG00000114013	ENSG00000121594	ENSG00000168811	ENSG00000178562
ENSG00000007312	ENSG00000012124	ENSG00000073849	ENSG00000105369	ENSG00000177455
ENSG00000102962	ENSG00000102970	ENSG00000126353	ENSG00000183813
ENSG00000005844	ENSG00000090339	ENSG00000160255
ENSG00000006210	ENSG00000006606	ENSG00000168329
ENSG00000092009	ENSG00000137673	ENSG00000196611
ENSG00000104321	ENSG00000167723	ENSG00000196689
ENSG00000112486	ENSG00000115009	ENSG00000164825
ENSG00000115594	ENSG00000136689	ENSG00000164946
ENSG00000115604	ENSG00000115607	ENSG00000150782
ENSG00000158869	ENSG00000179639	ENSG00000211891
ENSG00000049768	ENSG00000161405
ENSG00000088832	ENSG00000228716
ENSG00000101204	ENSG00000160716
ENSG00000104763	ENSG00000166311
ENSG00000105141	ENSG00000133710
ENSG00000106952	ENSG00000120949
ENSG00000115738	ENSG00000178860
ENSG00000117560	ENSG00000243509
ENSG00000120337	ENSG00000186891
ENSG00000128271	ENSG00000163485
ENSG00000143631	ENSG00000167754
ENSG00000144648	ENSG00000172156
ENSG00000145777	ENSG00000205755
ENSG00000157873	ENSG00000186265
ENSG00000168229	ENSG00000183134
ENSG00000171049	ENSG00000173432
