ENSG00000077238	ENSG00000092009	ENSG00000096968	ENSG00000101017	ENSG00000101204	ENSG00000102245	ENSG00000110944	ENSG00000113302	ENSG00000113525	ENSG00000115604	ENSG00000115607	ENSG00000118113	ENSG00000123496	ENSG00000127318	ENSG00000134470	ENSG00000134954	ENSG00000137673	ENSG00000138684	ENSG00000156738	ENSG00000160712	ENSG00000160716	ENSG00000161405	ENSG00000162434	ENSG00000168685	ENSG00000168811	ENSG00000169194	ENSG00000196611	ENSG00000205755
ENSG00000022355	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297
ENSG00000019186	ENSG00000077092	ENSG00000104918	ENSG00000111424	ENSG00000113580	ENSG00000131759	ENSG00000143171	ENSG00000172819	ENSG00000186350
ENSG00000007312	ENSG00000010671	ENSG00000012124	ENSG00000072694	ENSG00000105369	ENSG00000110448	ENSG00000137101	ENSG00000177455
ENSG00000057149	ENSG00000121552	ENSG00000124102	ENSG00000135047	ENSG00000163207	ENSG00000203782
ENSG00000007908	ENSG00000174059	ENSG00000188404
ENSG00000057252	ENSG00000135929	ENSG00000138135
ENSG00000105650	ENSG00000113448	ENSG00000184588
ENSG00000116824	ENSG00000143119	ENSG00000178562
ENSG00000127184	ENSG00000131143	ENSG00000135940
ENSG00000167531	ENSG00000170266	ENSG00000176597
ENSG00000049768	ENSG00000162924
ENSG00000092295	ENSG00000179477
ENSG00000104081	ENSG00000153094
ENSG00000105675	ENSG00000186009
ENSG00000106952	ENSG00000120949
ENSG00000115602	ENSG00000137033
ENSG00000115738	ENSG00000178860
ENSG00000120088	ENSG00000178473
ENSG00000120337	ENSG00000186891
ENSG00000143631	ENSG00000167754
ENSG00000151694	ENSG00000232810
ENSG00000154803	ENSG00000217128
ENSG00000160710	ENSG00000234745
ENSG00000168542	ENSG00000204262
ENSG00000173198	ENSG00000196639
ENSG00000188211	ENSG00000204475
ENSG00000197915	ENSG00000215853
