#Linkers: 
#Core	Expansion
ENSG00000000971 ENSG00000001626 ENSG00000003436 ENSG00000004468 ENSG00000004948 ENSG00000005381 ENSG00000007171 ENSG00000007908 ENSG00000010278 ENSG00000010610 ENSG00000011422 ENSG00000011465 ENSG00000011485 ENSG00000012223 ENSG00000019991 ENSG00000035862 ENSG00000043591 ENSG00000047457 ENSG00000047932 ENSG00000049130 ENSG00000049540 ENSG00000055955 ENSG00000073008 ENSG00000077463 ENSG00000077942 ENSG00000078401 ENSG00000086991 ENSG00000089041 ENSG00000090006 ENSG00000090554 ENSG00000092009 ENSG00000092969 ENSG00000099622 ENSG00000099985 ENSG00000100234 ENSG00000100292 ENSG00000100312 ENSG00000100380 ENSG00000100979 ENSG00000100985 ENSG00000101916 ENSG00000102265 ENSG00000102962 ENSG00000102970 ENSG00000104894 ENSG00000105329 ENSG00000105383 ENSG00000105464 ENSG00000105501 ENSG00000105707 ENSG00000105855 ENSG00000106366 ENSG00000106952 ENSG00000107562 ENSG00000108691 ENSG00000108702 ENSG00000109072 ENSG00000109321 ENSG00000109472 ENSG00000109610 ENSG00000109689 ENSG00000110651 ENSG00000110680 ENSG00000110876 ENSG00000111537 ENSG00000112486 ENSG00000112715 ENSG00000113083 ENSG00000113302 ENSG00000113580 ENSG00000114013 ENSG00000114646 ENSG00000115009 ENSG00000115602 ENSG00000115884 ENSG00000116032 ENSG00000116678 ENSG00000118113 ENSG00000118271 ENSG00000118523 ENSG00000119630 ENSG00000120217 ENSG00000120907 ENSG00000121594 ENSG00000121807 ENSG00000122707 ENSG00000122852 ENSG00000122861 ENSG00000122882 ENSG00000123700 ENSG00000124731 ENSG00000124942 ENSG00000125538 ENSG00000126353 ENSG00000128271 ENSG00000129988 ENSG00000130561 ENSG00000131016 ENSG00000131981 ENSG00000132693 ENSG00000133661 ENSG00000134247 ENSG00000134259 ENSG00000134363 ENSG00000134640 ENSG00000135404 ENSG00000136160 ENSG00000136244 ENSG00000136869 ENSG00000137033 ENSG00000137077 ENSG00000137462 ENSG00000137673 ENSG00000137745 ENSG00000138193 ENSG00000138207 ENSG00000138755 ENSG00000140092 ENSG00000140285 ENSG00000140943 ENSG00000142798 ENSG00000143507 ENSG00000144935 ENSG00000145192 ENSG00000145864 ENSG00000145901 ENSG00000148346 ENSG00000148926 ENSG00000149295 ENSG00000149968 ENSG00000150672 ENSG00000151617 ENSG00000151623 ENSG00000151694 ENSG00000152208 ENSG00000153283 ENSG00000155511 ENSG00000156234 ENSG00000157613 ENSG00000160013 ENSG00000160307 ENSG00000160712 ENSG00000160791 ENSG00000162594 ENSG00000162896 ENSG00000163430 ENSG00000163453 ENSG00000163464 ENSG00000163485 ENSG00000163599 ENSG00000163735 ENSG00000163736 ENSG00000163737 ENSG00000163739 ENSG00000163823 ENSG00000164047 ENSG00000164111 ENSG00000164270 ENSG00000164342 ENSG00000164344 ENSG00000164400 ENSG00000164825 ENSG00000165029 ENSG00000165471 ENSG00000166482 ENSG00000167323 ENSG00000167634 ENSG00000168412 ENSG00000168539 ENSG00000168702 ENSG00000168811 ENSG00000169031 ENSG00000169245 ENSG00000169248 ENSG00000169252 ENSG00000169344 ENSG00000169429 ENSG00000169860 ENSG00000170214 ENSG00000170458 ENSG00000170558 ENSG00000170835 ENSG00000171049 ENSG00000171564 ENSG00000172156 ENSG00000172243 ENSG00000172572 ENSG00000172638 ENSG00000172724 ENSG00000174130 ENSG00000174175 ENSG00000174697 ENSG00000174808 ENSG00000176697 ENSG00000176884 ENSG00000177243 ENSG00000178562 ENSG00000178726 ENSG00000179914 ENSG00000179934 ENSG00000180871 ENSG00000181072 ENSG00000181104 ENSG00000182492 ENSG00000183454 ENSG00000183625 ENSG00000185303 ENSG00000185386 ENSG00000185499 ENSG00000185652 ENSG00000186469 ENSG00000186810 ENSG00000187554 ENSG00000188404 ENSG00000188488 ENSG00000188778 ENSG00000189403 ENSG00000196136 ENSG00000196188 ENSG00000196411 ENSG00000196611 ENSG00000196664 ENSG00000196839 ENSG00000197249 ENSG00000197561 ENSG00000197635 ENSG00000198670 ENSG00000198785 ENSG00000204305 ENSG00000214274 ENSG00000226979 ENSG00000227507 ENSG00000232810 ENSG00000239732 ENSG00000243649 ENSG00000254647 ENSG00000262406 ENSG00000271503 ENSG00000273079 ENSG00000275152 ENSG00000275302 ENSG00000275385 ENSG00000277632	
ENSG00000082556 ENSG00000112038 ENSG00000135312 ENSG00000144481 ENSG00000181195 ENSG00000189337	
ENSG00000006210 ENSG00000168329	
ENSG00000153820 ENSG00000176170	
ENSG00000143556 ENSG00000164687	
ENSG00000080644 ENSG00000101204 ENSG00000117971 ENSG00000160716 ENSG00000169684	
ENSG00000136634 ENSG00000178573	
ENSG00000108515 ENSG00000111674	
ENSG00000087074 ENSG00000211460	
ENSG00000078674 ENSG00000139350 ENSG00000151849 ENSG00000165533	
ENSG00000120659 ENSG00000135074 ENSG00000157168 ENSG00000164761	
ENSG00000023228 ENSG00000065518 ENSG00000110717 ENSG00000115286 ENSG00000119421 ENSG00000128311 ENSG00000128609 ENSG00000131495 ENSG00000136521 ENSG00000137806 ENSG00000139180 ENSG00000140990 ENSG00000145494 ENSG00000147684 ENSG00000158864 ENSG00000160194 ENSG00000164258 ENSG00000165264 ENSG00000166136 ENSG00000167792 ENSG00000178127 ENSG00000183648 ENSG00000184752 ENSG00000184983 ENSG00000198695 ENSG00000198786 ENSG00000198886 ENSG00000198888 ENSG00000213619 ENSG00000267855	
ENSG00000149021 ENSG00000160349	
ENSG00000100299 ENSG00000102575 ENSG00000118785	
ENSG00000004939 ENSG00000104267 ENSG00000111275 ENSG00000115541 ENSG00000142082 ENSG00000144381 ENSG00000178307	
ENSG00000051523 ENSG00000196408	
ENSG00000073756 ENSG00000203667	
ENSG00000075073 ENSG00000115353	
ENSG00000101144 ENSG00000114739 ENSG00000135414 ENSG00000138071 ENSG00000138379 ENSG00000183691 ENSG00000204217	
ENSG00000001084 ENSG00000023909	
ENSG00000070031 ENSG00000106018 ENSG00000106128 ENSG00000114812 ENSG00000118702 ENSG00000146469	
ENSG00000111424 ENSG00000127948 ENSG00000138109	
ENSG00000164199 ENSG00000175344	
ENSG00000101945 ENSG00000108468	
ENSG00000106538 ENSG00000174600	
ENSG00000012779 ENSG00000132965	
ENSG00000102837 ENSG00000186010	
ENSG00000151892 ENSG00000168621	
ENSG00000076662 ENSG00000090659	
ENSG00000022355 ENSG00000069696	
ENSG00000049768 ENSG00000188613 ENSG00000196591	
ENSG00000048462 ENSG00000102524 ENSG00000159958 ENSG00000161955 ENSG00000240505	
ENSG00000145777 ENSG00000205755	
ENSG00000143546 ENSG00000163220	
ENSG00000122359 ENSG00000197956	
ENSG00000012504 ENSG00000145391 ENSG00000185513	
ENSG00000163131 ENSG00000242252	
ENSG00000124217 ENSG00000176476	
ENSG00000140945 ENSG00000159346 ENSG00000181092	
ENSG00000113520 ENSG00000123496 ENSG00000169194	
ENSG00000204516 ENSG00000204520 ENSG00000213809	
ENSG00000150760 ENSG00000155849	
ENSG00000132376 ENSG00000164136	
ENSG00000239839 ENSG00000240247	
ENSG00000017427 ENSG00000115457	
ENSG00000091879 ENSG00000154188	
ENSG00000043462 ENSG00000107338	
ENSG00000113161 ENSG00000186480	
ENSG00000113494 ENSG00000172179 ENSG00000259384	
ENSG00000088888 ENSG00000115267	
ENSG00000070019 ENSG00000197273	
ENSG00000100604 ENSG00000104321 ENSG00000196689	
ENSG00000116016 ENSG00000269858	
ENSG00000160182 ENSG00000184956	
ENSG00000158828 ENSG00000185345	
ENSG00000144366 ENSG00000177830	
ENSG00000163624 ENSG00000260314	
ENSG00000091181 ENSG00000113525	
ENSG00000124664 ENSG00000167034	
ENSG00000109471 ENSG00000141568	
ENSG00000073050 ENSG00000114026	
ENSG00000082175 ENSG00000119138	
ENSG00000150782 ENSG00000196954	
ENSG00000139178 ENSG00000257017	
