ENSG00000001626	ENSG00000019991	ENSG00000035862	ENSG00000049130	ENSG00000092009	ENSG00000100380	ENSG00000100985	ENSG00000102265	ENSG00000106366	ENSG00000109321	ENSG00000118113	ENSG00000125538	ENSG00000137033	ENSG00000137673	ENSG00000137745	ENSG00000138193	ENSG00000148346	ENSG00000149968	ENSG00000162896	ENSG00000163464	ENSG00000163735	ENSG00000163739	ENSG00000164111	ENSG00000164270	ENSG00000164400	ENSG00000167634	ENSG00000169252	ENSG00000169344	ENSG00000169429	ENSG00000180871	ENSG00000188778	ENSG00000189403	ENSG00000196611	ENSG00000204305	ENSG00000226979	ENSG00000227507
ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000128311	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000108702	ENSG00000121807	ENSG00000163823	ENSG00000172156	ENSG00000271503	ENSG00000277632
ENSG00000116032	ENSG00000170558	ENSG00000176884	ENSG00000183454	ENSG00000198785	ENSG00000273079
ENSG00000080644	ENSG00000101204	ENSG00000117971	ENSG00000160716	ENSG00000169684
ENSG00000082556	ENSG00000112038	ENSG00000135312	ENSG00000144481	ENSG00000181195
ENSG00000077463	ENSG00000100292	ENSG00000111537	ENSG00000232810
ENSG00000078674	ENSG00000139350	ENSG00000151849	ENSG00000165533
ENSG00000120659	ENSG00000135074	ENSG00000157168	ENSG00000164761
ENSG00000049540	ENSG00000113083	ENSG00000140092
ENSG00000078401	ENSG00000136160	ENSG00000151617
ENSG00000099985	ENSG00000136244	ENSG00000160712
ENSG00000100299	ENSG00000102575	ENSG00000118785
ENSG00000100312	ENSG00000171564	ENSG00000188488
ENSG00000101916	ENSG00000170458	ENSG00000196664
ENSG00000102962	ENSG00000126353	ENSG00000137077
ENSG00000112486	ENSG00000115009	ENSG00000164825
ENSG00000112715	ENSG00000119630	ENSG00000163453
ENSG00000128271	ENSG00000163485	ENSG00000196839
ENSG00000130561	ENSG00000170214	ENSG00000181072
ENSG00000140943	ENSG00000157613	ENSG00000176697
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000000971	ENSG00000188404
ENSG00000001084	ENSG00000023909
ENSG00000004948	ENSG00000165471
ENSG00000006210	ENSG00000168329
ENSG00000012779	ENSG00000132965
ENSG00000022355	ENSG00000069696
ENSG00000073756	ENSG00000203667
ENSG00000091181	ENSG00000113525
ENSG00000102837	ENSG00000186010
ENSG00000106018	ENSG00000146469
ENSG00000106128	ENSG00000118702
ENSG00000108515	ENSG00000111674
ENSG00000109689	ENSG00000167323
ENSG00000113161	ENSG00000186480
ENSG00000116016	ENSG00000269858
ENSG00000120217	ENSG00000121594
ENSG00000120907	ENSG00000168539
ENSG00000122359	ENSG00000197956
ENSG00000124664	ENSG00000167034
ENSG00000134640	ENSG00000168412
ENSG00000140945	ENSG00000181092
ENSG00000143556	ENSG00000164687
ENSG00000149021	ENSG00000160349
