#Linkers: 
#Core	Expansion
ENSG00000003436 ENSG00000004948 ENSG00000005381 ENSG00000010610 ENSG00000011465 ENSG00000012223 ENSG00000017427 ENSG00000019991 ENSG00000027644 ENSG00000028137 ENSG00000035862 ENSG00000043591 ENSG00000047457 ENSG00000064989 ENSG00000075142 ENSG00000078401 ENSG00000087245 ENSG00000088926 ENSG00000089250 ENSG00000090382 ENSG00000092009 ENSG00000092969 ENSG00000093010 ENSG00000100234 ENSG00000100292 ENSG00000100312 ENSG00000100380 ENSG00000100604 ENSG00000100985 ENSG00000101200 ENSG00000102265 ENSG00000104368 ENSG00000106366 ENSG00000107562 ENSG00000108691 ENSG00000108821 ENSG00000109472 ENSG00000110680 ENSG00000110799 ENSG00000111424 ENSG00000111537 ENSG00000112033 ENSG00000112715 ENSG00000113140 ENSG00000113389 ENSG00000113580 ENSG00000114013 ENSG00000115457 ENSG00000116478 ENSG00000117298 ENSG00000117525 ENSG00000117601 ENSG00000118113 ENSG00000118271 ENSG00000118432 ENSG00000118523 ENSG00000119630 ENSG00000119699 ENSG00000119782 ENSG00000120937 ENSG00000121807 ENSG00000122194 ENSG00000122641 ENSG00000122679 ENSG00000122861 ENSG00000122882 ENSG00000123700 ENSG00000124205 ENSG00000125538 ENSG00000126895 ENSG00000127948 ENSG00000128165 ENSG00000128271 ENSG00000131477 ENSG00000132170 ENSG00000132329 ENSG00000134046 ENSG00000134259 ENSG00000134363 ENSG00000134489 ENSG00000135744 ENSG00000136160 ENSG00000136869 ENSG00000137033 ENSG00000137745 ENSG00000138109 ENSG00000138735 ENSG00000138792 ENSG00000142798 ENSG00000143839 ENSG00000144891 ENSG00000145192 ENSG00000146678 ENSG00000148053 ENSG00000148346 ENSG00000148926 ENSG00000149480 ENSG00000149968 ENSG00000150594 ENSG00000151067 ENSG00000151617 ENSG00000151623 ENSG00000151694 ENSG00000154277 ENSG00000158169 ENSG00000159640 ENSG00000159899 ENSG00000160323 ENSG00000160868 ENSG00000163273 ENSG00000163430 ENSG00000163453 ENSG00000163485 ENSG00000164270 ENSG00000165471 ENSG00000167711 ENSG00000168487 ENSG00000168542 ENSG00000169174 ENSG00000169252 ENSG00000169313 ENSG00000169344 ENSG00000169418 ENSG00000169429 ENSG00000169860 ENSG00000170458 ENSG00000171105 ENSG00000171681 ENSG00000172270 ENSG00000173511 ENSG00000173918 ENSG00000175206 ENSG00000175868 ENSG00000176697 ENSG00000178562 ENSG00000178726 ENSG00000180210 ENSG00000180772 ENSG00000182220 ENSG00000185010 ENSG00000185624 ENSG00000185652 ENSG00000186318 ENSG00000188488 ENSG00000188729 ENSG00000188778 ENSG00000196262 ENSG00000196549 ENSG00000196591 ENSG00000196611 ENSG00000196839 ENSG00000197081 ENSG00000197635 ENSG00000198626 ENSG00000198873 ENSG00000198947 ENSG00000214274 ENSG00000226979 ENSG00000232810 ENSG00000239732 ENSG00000240247 ENSG00000254647 ENSG00000275152	
ENSG00000061918 ENSG00000164116	
ENSG00000112115 ENSG00000177663	
ENSG00000036448 ENSG00000104879 ENSG00000134571 ENSG00000155657 ENSG00000158022	
ENSG00000042832 ENSG00000141505	
ENSG00000115138 ENSG00000159723 ENSG00000176136	
ENSG00000126353 ENSG00000137077	
ENSG00000006210 ENSG00000168329	
ENSG00000118729 ENSG00000148677	
ENSG00000142168 ENSG00000173992	
ENSG00000106144 ENSG00000177595	
ENSG00000110492 ENSG00000124145	
ENSG00000137496 ENSG00000150782	
ENSG00000108405 ENSG00000109991	
ENSG00000134443 ENSG00000170890	
ENSG00000087494 ENSG00000106113 ENSG00000121853 ENSG00000122585 ENSG00000132693 ENSG00000136244 ENSG00000145040 ENSG00000147571 ENSG00000152266 ENSG00000157017 ENSG00000160339 ENSG00000163794 ENSG00000174697 ENSG00000185149 ENSG00000204174	
ENSG00000023228 ENSG00000065518 ENSG00000110717 ENSG00000115286 ENSG00000119421 ENSG00000125166 ENSG00000128609 ENSG00000131495 ENSG00000136521 ENSG00000137806 ENSG00000139180 ENSG00000140990 ENSG00000145494 ENSG00000147684 ENSG00000158864 ENSG00000160194 ENSG00000164258 ENSG00000165264 ENSG00000166136 ENSG00000167792 ENSG00000178127 ENSG00000183648 ENSG00000184752 ENSG00000184983 ENSG00000198695 ENSG00000198786 ENSG00000198886 ENSG00000198888 ENSG00000213619 ENSG00000267855	
ENSG00000049167 ENSG00000100387 ENSG00000113851 ENSG00000139842 ENSG00000167986	
ENSG00000102174 ENSG00000118972	
ENSG00000010704 ENSG00000091513 ENSG00000134539 ENSG00000134545 ENSG00000166710 ENSG00000204632	
ENSG00000120907 ENSG00000170214	
ENSG00000100097 ENSG00000181143	
ENSG00000152661 ENSG00000265107	
ENSG00000100151 ENSG00000103546	
ENSG00000007314 ENSG00000136531 ENSG00000144285 ENSG00000153253 ENSG00000168356 ENSG00000169432 ENSG00000183873 ENSG00000185313 ENSG00000196876	
ENSG00000174437 ENSG00000198523	
ENSG00000111319 ENSG00000157388 ENSG00000166828 ENSG00000168447	
ENSG00000006128 ENSG00000133636	
ENSG00000006071 ENSG00000187486	
ENSG00000111199 ENSG00000171885	
ENSG00000004468 ENSG00000261371	
ENSG00000091879 ENSG00000154188	
ENSG00000140379 ENSG00000153094	
ENSG00000171051 ENSG00000173432	
ENSG00000137731 ENSG00000163399	
ENSG00000101680 ENSG00000213949	
ENSG00000132341 ENSG00000180198	
ENSG00000160678 ENSG00000175084	
ENSG00000005421 ENSG00000120885 ENSG00000123191 ENSG00000163631	
ENSG00000121858 ENSG00000164761	
ENSG00000135547 ENSG00000164683	
ENSG00000070915 ENSG00000074803	
