ENSG00000004779	ENSG00000023228	ENSG00000065518	ENSG00000090266	ENSG00000099795	ENSG00000110717	ENSG00000115286	ENSG00000119013	ENSG00000119421	ENSG00000123545	ENSG00000125356	ENSG00000128609	ENSG00000130414	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147123	ENSG00000147684	ENSG00000151366	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000168653	ENSG00000174886	ENSG00000178057	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000186010	ENSG00000189043	ENSG00000198695	ENSG00000198763	ENSG00000198786	ENSG00000198840	ENSG00000198886	ENSG00000198888	ENSG00000212907	ENSG00000213619	ENSG00000267855
ENSG00000061918	ENSG00000092009	ENSG00000101439	ENSG00000113389	ENSG00000120937	ENSG00000130234	ENSG00000138735	ENSG00000138792	ENSG00000143839	ENSG00000145244	ENSG00000152402	ENSG00000159640	ENSG00000163273	ENSG00000164116	ENSG00000169418	ENSG00000175206	ENSG00000180772	ENSG00000182220	ENSG00000196549
ENSG00000018625	ENSG00000069849	ENSG00000100292	ENSG00000105409	ENSG00000105675	ENSG00000116791	ENSG00000127948	ENSG00000129244	ENSG00000132681	ENSG00000137731	ENSG00000143153	ENSG00000163399	ENSG00000186009
ENSG00000111319	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000166828	ENSG00000168447	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000043591	ENSG00000112164	ENSG00000120907	ENSG00000144891	ENSG00000169252	ENSG00000170214	ENSG00000171873	ENSG00000188778
ENSG00000010610	ENSG00000163485	ENSG00000169313	ENSG00000196839	ENSG00000197635
ENSG00000100387	ENSG00000113851	ENSG00000139842	ENSG00000167986	ENSG00000186575
ENSG00000100604	ENSG00000104368	ENSG00000122194	ENSG00000149968	ENSG00000197632
ENSG00000057252	ENSG00000100299	ENSG00000101846	ENSG00000183876
ENSG00000064989	ENSG00000122679	ENSG00000131477	ENSG00000132329
ENSG00000081248	ENSG00000102001	ENSG00000151067	ENSG00000157388
ENSG00000109610	ENSG00000119125	ENSG00000121691	ENSG00000158125
ENSG00000104918	ENSG00000113580	ENSG00000146678
ENSG00000111012	ENSG00000111424	ENSG00000132170
ENSG00000118972	ENSG00000145192	ENSG00000171105
ENSG00000167580	ENSG00000171885	ENSG00000240583
ENSG00000003436	ENSG00000117525
ENSG00000007908	ENSG00000174175
ENSG00000038274	ENSG00000123505
ENSG00000077942	ENSG00000172638
ENSG00000080819	ENSG00000143224
ENSG00000099822	ENSG00000164588
ENSG00000108064	ENSG00000148840
ENSG00000108823	ENSG00000170624
ENSG00000112115	ENSG00000177663
ENSG00000116478	ENSG00000196591
ENSG00000134539	ENSG00000134545
ENSG00000135547	ENSG00000164683
ENSG00000136869	ENSG00000170458
ENSG00000137496	ENSG00000150782
ENSG00000157017	ENSG00000159723
ENSG00000160200	ENSG00000167720
ENSG00000160678	ENSG00000174437
ENSG00000169174	ENSG00000186318
