ENSG00000007171	ENSG00000018280	ENSG00000067182	ENSG00000079999	ENSG00000083799	ENSG00000096968	ENSG00000099866	ENSG00000100311	ENSG00000100365	ENSG00000100368	ENSG00000100387	ENSG00000105397	ENSG00000108094	ENSG00000108688	ENSG00000108691	ENSG00000109471	ENSG00000110944	ENSG00000111321	ENSG00000111424	ENSG00000111537	ENSG00000113302	ENSG00000113851	ENSG00000115232	ENSG00000115604	ENSG00000115607	ENSG00000117595	ENSG00000118503	ENSG00000120659	ENSG00000120690	ENSG00000128604	ENSG00000131196	ENSG00000132170	ENSG00000134460	ENSG00000134470	ENSG00000136634	ENSG00000138378	ENSG00000138684	ENSG00000139626	ENSG00000139842	ENSG00000140968	ENSG00000142224	ENSG00000143365	ENSG00000145623	ENSG00000145901	ENSG00000149968	ENSG00000150093	ENSG00000153814	ENSG00000159128	ENSG00000160712	ENSG00000161405	ENSG00000162434	ENSG00000162594	ENSG00000164307	ENSG00000164308	ENSG00000164761	ENSG00000167986	ENSG00000168610	ENSG00000168811	ENSG00000169231	ENSG00000181634	ENSG00000185436	ENSG00000185811	ENSG00000197272	ENSG00000198223	ENSG00000226979	ENSG00000227507	ENSG00000232810	ENSG00000234745	ENSG00000243509
ENSG00000022355	ENSG00000094755	ENSG00000102287	ENSG00000109158	ENSG00000113327	ENSG00000115896	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163285	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297	ENSG00000187730
ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000160223	ENSG00000163599	ENSG00000178562
ENSG00000011485	ENSG00000105401	ENSG00000118046	ENSG00000188906
ENSG00000057663	ENSG00000085978	ENSG00000167207	ENSG00000168010
ENSG00000101017	ENSG00000107968	ENSG00000156738	ENSG00000162924
ENSG00000106348	ENSG00000137364	ENSG00000178035
ENSG00000112115	ENSG00000112116	ENSG00000177663
ENSG00000128271	ENSG00000170425	ENSG00000171522
ENSG00000140030	ENSG00000144891	ENSG00000146535
ENSG00000164816	ENSG00000164822	ENSG00000164825
ENSG00000013725	ENSG00000124766
ENSG00000073756	ENSG00000095303
ENSG00000075618	ENSG00000107796
ENSG00000088305	ENSG00000119772
ENSG00000088832	ENSG00000138741
ENSG00000091972	ENSG00000163606
ENSG00000100665	ENSG00000167748
ENSG00000101624	ENSG00000213066
ENSG00000104918	ENSG00000113580
ENSG00000105675	ENSG00000186009
ENSG00000106541	ENSG00000173402
ENSG00000115602	ENSG00000137033
ENSG00000116288	ENSG00000163349
ENSG00000118113	ENSG00000137673
ENSG00000125571	ENSG00000137496
ENSG00000130234	ENSG00000159640
ENSG00000132693	ENSG00000143226
ENSG00000133703	ENSG00000172575
ENSG00000134954	ENSG00000157557
ENSG00000136869	ENSG00000163220
ENSG00000158710	ENSG00000162607
ENSG00000163485	ENSG00000173585
ENSG00000170340	ENSG00000176920
ENSG00000177575	ENSG00000257017
ENSG00000196664	ENSG00000239732
