ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000128311	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000056972	ENSG00000081985	ENSG00000096968	ENSG00000101017	ENSG00000105397	ENSG00000105639	ENSG00000110944	ENSG00000112115	ENSG00000113302	ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000162434	ENSG00000162594	ENSG00000162924	ENSG00000163599	ENSG00000163702	ENSG00000168811	ENSG00000170581	ENSG00000175354	ENSG00000177663	ENSG00000178562	ENSG00000182393	ENSG00000185436
ENSG00000057663	ENSG00000085978	ENSG00000107201	ENSG00000111335	ENSG00000113522	ENSG00000115267	ENSG00000140279	ENSG00000167207	ENSG00000186010	ENSG00000187796
ENSG00000077092	ENSG00000111424	ENSG00000112033	ENSG00000131759	ENSG00000143171	ENSG00000172819	ENSG00000186350	ENSG00000204231
ENSG00000100292	ENSG00000111537	ENSG00000118503	ENSG00000145901	ENSG00000159128	ENSG00000232810
ENSG00000005844	ENSG00000105376	ENSG00000150637	ENSG00000160255
ENSG00000115008	ENSG00000115590	ENSG00000115594	ENSG00000136697
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000112486	ENSG00000115009	ENSG00000164825
ENSG00000116288	ENSG00000163349	ENSG00000189043
ENSG00000128271	ENSG00000142319	ENSG00000149295
ENSG00000136244	ENSG00000160712	ENSG00000164307
ENSG00000006210	ENSG00000168329
ENSG00000078098	ENSG00000197635
ENSG00000088832	ENSG00000228716
ENSG00000089234	ENSG00000141068
ENSG00000095794	ENSG00000119772
ENSG00000106538	ENSG00000174600
ENSG00000108691	ENSG00000144648
ENSG00000108839	ENSG00000173334
ENSG00000109471	ENSG00000134460
ENSG00000113851	ENSG00000185811
ENSG00000116815	ENSG00000116824
ENSG00000126353	ENSG00000137077
ENSG00000127318	ENSG00000164485
ENSG00000143546	ENSG00000163220
ENSG00000152266	ENSG00000160801
ENSG00000153802	ENSG00000173531
ENSG00000162616	ENSG00000173110
ENSG00000163464	ENSG00000180871
ENSG00000165474	ENSG00000188910
ENSG00000167553	ENSG00000188906
ENSG00000181634	ENSG00000243509
