ENSG00000004779	ENSG00000023228	ENSG00000065518	ENSG00000090266	ENSG00000099795	ENSG00000110717	ENSG00000115286	ENSG00000119013	ENSG00000119421	ENSG00000123545	ENSG00000125356	ENSG00000128609	ENSG00000130414	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147123	ENSG00000147684	ENSG00000151366	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000168653	ENSG00000174886	ENSG00000178057	ENSG00000178127	ENSG00000183648	ENSG00000184076	ENSG00000184752	ENSG00000184983	ENSG00000186010	ENSG00000189043	ENSG00000198695	ENSG00000198763	ENSG00000198786	ENSG00000198840	ENSG00000198886	ENSG00000198888	ENSG00000212907	ENSG00000213619	ENSG00000267855
ENSG00000007171	ENSG00000096968	ENSG00000105397	ENSG00000105639	ENSG00000108691	ENSG00000110944	ENSG00000111537	ENSG00000113302	ENSG00000115604	ENSG00000123496	ENSG00000134460	ENSG00000136634	ENSG00000142224	ENSG00000145623	ENSG00000159128	ENSG00000160712	ENSG00000162434	ENSG00000162594	ENSG00000168811	ENSG00000169194	ENSG00000185436
ENSG00000019186	ENSG00000077092	ENSG00000111012	ENSG00000111424	ENSG00000113580	ENSG00000131759	ENSG00000143171	ENSG00000143365	ENSG00000172819	ENSG00000186350
ENSG00000022355	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297
ENSG00000005844	ENSG00000007908	ENSG00000027075	ENSG00000105376	ENSG00000150637	ENSG00000160255	ENSG00000174059	ENSG00000174175	ENSG00000188404
ENSG00000140968	ENSG00000164307	ENSG00000164308	ENSG00000167633	ENSG00000170581	ENSG00000197272	ENSG00000234745
ENSG00000056972	ENSG00000101017	ENSG00000112115	ENSG00000112116	ENSG00000156738	ENSG00000177663
ENSG00000057663	ENSG00000085978	ENSG00000107201	ENSG00000115267	ENSG00000167207	ENSG00000184584
ENSG00000116815	ENSG00000116824	ENSG00000121594	ENSG00000160223	ENSG00000163599	ENSG00000178562
ENSG00000105650	ENSG00000113448	ENSG00000184588
ENSG00000062485	ENSG00000122729
ENSG00000073282	ENSG00000119042
ENSG00000088305	ENSG00000119772
ENSG00000092295	ENSG00000179148
ENSG00000101850	ENSG00000120215
ENSG00000105675	ENSG00000186009
ENSG00000116288	ENSG00000163349
ENSG00000118503	ENSG00000145901
ENSG00000120088	ENSG00000178473
ENSG00000125810	ENSG00000165471
ENSG00000134545	ENSG00000204592
ENSG00000143226	ENSG00000155849
ENSG00000143546	ENSG00000163220
ENSG00000143556	ENSG00000164687
ENSG00000143631	ENSG00000167754
ENSG00000167880	ENSG00000186847
ENSG00000170340	ENSG00000176920
ENSG00000181634	ENSG00000243509
