ENSG00000056558	ENSG00000096968	ENSG00000100385	ENSG00000101017	ENSG00000105397	ENSG00000105639	ENSG00000107485	ENSG00000109471	ENSG00000110944	ENSG00000112964	ENSG00000113302	ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000128604	ENSG00000134460	ENSG00000136634	ENSG00000137265	ENSG00000138378	ENSG00000146232	ENSG00000156738	ENSG00000162434	ENSG00000162594	ENSG00000162924	ENSG00000163599	ENSG00000164136	ENSG00000168811	ENSG00000175354	ENSG00000178562
ENSG00000110717	ENSG00000115286	ENSG00000128311	ENSG00000131495	ENSG00000139180	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000167792	ENSG00000178127	ENSG00000184752	ENSG00000198888
ENSG00000111321	ENSG00000125735	ENSG00000157873	ENSG00000169344	ENSG00000181634	ENSG00000186265	ENSG00000215788	ENSG00000226979	ENSG00000227507	ENSG00000243509
ENSG00000049130	ENSG00000090554	ENSG00000108342	ENSG00000115232	ENSG00000136573	ENSG00000139626	ENSG00000159216	ENSG00000164400	ENSG00000198223
ENSG00000138755	ENSG00000163823	ENSG00000169245	ENSG00000183625	ENSG00000275385	ENSG00000275718
ENSG00000111537	ENSG00000118503	ENSG00000145901	ENSG00000159128	ENSG00000232810
ENSG00000115594	ENSG00000125538	ENSG00000136689	ENSG00000136697
ENSG00000005844	ENSG00000076662	ENSG00000090659
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000048462	ENSG00000102524	ENSG00000161955
ENSG00000106538	ENSG00000143387	ENSG00000174600
ENSG00000113249	ENSG00000145850	ENSG00000196189
ENSG00000136244	ENSG00000160712	ENSG00000164307
ENSG00000006210	ENSG00000168329
ENSG00000029725	ENSG00000142149
ENSG00000049249	ENSG00000125657
ENSG00000057663	ENSG00000085978
ENSG00000061918	ENSG00000164116
ENSG00000088832	ENSG00000228716
ENSG00000089041	ENSG00000135124
ENSG00000102854	ENSG00000181143
ENSG00000104321	ENSG00000196689
ENSG00000112038	ENSG00000116329
ENSG00000112115	ENSG00000177663
ENSG00000113389	ENSG00000163273
ENSG00000116815	ENSG00000116824
ENSG00000120659	ENSG00000164761
ENSG00000122359	ENSG00000197956
ENSG00000123416	ENSG00000258947
ENSG00000125726	ENSG00000139193
ENSG00000126353	ENSG00000137077
ENSG00000126759	ENSG00000243649
ENSG00000128609	ENSG00000183648
ENSG00000137731	ENSG00000163399
ENSG00000137745	ENSG00000154736
ENSG00000140479	ENSG00000143631
ENSG00000150637	ENSG00000181847
ENSG00000152266	ENSG00000160801
ENSG00000156234	ENSG00000160683
ENSG00000160223	ENSG00000163600
ENSG00000168214	ENSG00000169057
ENSG00000179344	ENSG00000237541
ENSG00000196126	ENSG00000198502
ENSG00000196839	ENSG00000197635
ENSG00000204257	ENSG00000242574
ENSG00000223865	ENSG00000231389
