ENSG00000005381	ENSG00000010610	ENSG00000010671	ENSG00000013725	ENSG00000018280	ENSG00000020633	ENSG00000022267	ENSG00000049249	ENSG00000050628	ENSG00000056558	ENSG00000057149	ENSG00000073756	ENSG00000082556	ENSG00000091831	ENSG00000095303	ENSG00000096968	ENSG00000100385	ENSG00000101017	ENSG00000101916	ENSG00000104918	ENSG00000105397	ENSG00000105483	ENSG00000105639	ENSG00000105810	ENSG00000106952	ENSG00000107485	ENSG00000109471	ENSG00000110448	ENSG00000110944	ENSG00000111321	ENSG00000111424	ENSG00000112038	ENSG00000112115	ENSG00000112116	ENSG00000112486	ENSG00000112964	ENSG00000113302	ENSG00000113580	ENSG00000114013	ENSG00000116329	ENSG00000116815	ENSG00000116824	ENSG00000118503	ENSG00000120337	ENSG00000120949	ENSG00000121594	ENSG00000125538	ENSG00000125657	ENSG00000125726	ENSG00000125735	ENSG00000127318	ENSG00000128604	ENSG00000132170	ENSG00000134258	ENSG00000134460	ENSG00000134954	ENSG00000135047	ENSG00000135605	ENSG00000136244	ENSG00000136573	ENSG00000136634	ENSG00000136689	ENSG00000137077	ENSG00000137265	ENSG00000138378	ENSG00000138684	ENSG00000139193	ENSG00000140009	ENSG00000140968	ENSG00000143387	ENSG00000145901	ENSG00000151694	ENSG00000155849	ENSG00000156738	ENSG00000157873	ENSG00000159128	ENSG00000159216	ENSG00000160223	ENSG00000160683	ENSG00000160712	ENSG00000162434	ENSG00000162594	ENSG00000162711	ENSG00000162747	ENSG00000163106	ENSG00000163508	ENSG00000163599	ENSG00000164136	ENSG00000164400	ENSG00000165025	ENSG00000166523	ENSG00000168214	ENSG00000169313	ENSG00000170017	ENSG00000172243	ENSG00000175354	ENSG00000177663	ENSG00000178562	ENSG00000179344	ENSG00000181634	ENSG00000186265	ENSG00000186891	ENSG00000187796	ENSG00000188389	ENSG00000196092	ENSG00000196126	ENSG00000196639	ENSG00000196664	ENSG00000196735	ENSG00000197635	ENSG00000198223	ENSG00000198502	ENSG00000204287	ENSG00000215788	ENSG00000226979	ENSG00000227507	ENSG00000232810	ENSG00000237541	ENSG00000239732	ENSG00000243509
ENSG00000061918	ENSG00000095464	ENSG00000132915	ENSG00000133256	ENSG00000138735	ENSG00000139053	ENSG00000152402	ENSG00000156973	ENSG00000160191	ENSG00000164116	ENSG00000185527	ENSG00000186642
ENSG00000022355	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297
ENSG00000018625	ENSG00000069849	ENSG00000105409	ENSG00000129244	ENSG00000132681	ENSG00000137731	ENSG00000143153	ENSG00000163399
ENSG00000101162	ENSG00000123416	ENSG00000137267	ENSG00000137285	ENSG00000152086	ENSG00000167553	ENSG00000176014
ENSG00000035862	ENSG00000099953	ENSG00000118113	ENSG00000122707	ENSG00000124107	ENSG00000197561
ENSG00000100234	ENSG00000126759	ENSG00000137745	ENSG00000154736	ENSG00000243649
ENSG00000009724	ENSG00000160339	ENSG00000165471	ENSG00000224389
ENSG00000048462	ENSG00000102524	ENSG00000159958	ENSG00000161955
ENSG00000113749	ENSG00000160801	ENSG00000171522	ENSG00000185231
ENSG00000134539	ENSG00000134545	ENSG00000204592	ENSG00000205809
ENSG00000005844	ENSG00000076662	ENSG00000090659
ENSG00000103044	ENSG00000105509	ENSG00000114770
ENSG00000103855	ENSG00000117525	ENSG00000145850
ENSG00000105650	ENSG00000113448	ENSG00000184588
ENSG00000108823	ENSG00000173402	ENSG00000179915
ENSG00000117322	ENSG00000117335	ENSG00000203710
ENSG00000120659	ENSG00000149968	ENSG00000164761
ENSG00000136877	ENSG00000137563	ENSG00000228716
ENSG00000143546	ENSG00000163220	ENSG00000240972
ENSG00000048392	ENSG00000167325
ENSG00000057663	ENSG00000085978
ENSG00000091583	ENSG00000198670
ENSG00000091972	ENSG00000163606
ENSG00000100665	ENSG00000167748
ENSG00000102575	ENSG00000135002
ENSG00000103546	ENSG00000108576
ENSG00000105675	ENSG00000186009
ENSG00000107959	ENSG00000117592
ENSG00000110921	ENSG00000113161
ENSG00000113389	ENSG00000163273
ENSG00000118777	ENSG00000175003
ENSG00000119655	ENSG00000141458
ENSG00000123146	ENSG00000196352
ENSG00000123545	ENSG00000178057
ENSG00000125246	ENSG00000131473
ENSG00000125571	ENSG00000137496
ENSG00000131979	ENSG00000150787
ENSG00000134812	ENSG00000134827
ENSG00000135506	ENSG00000196689
ENSG00000136861	ENSG00000166037
ENSG00000139531	ENSG00000183048
ENSG00000146232	ENSG00000162924
ENSG00000148584	ENSG00000239713
ENSG00000156804	ENSG00000206075
ENSG00000159640	ENSG00000180772
ENSG00000170340	ENSG00000176920
ENSG00000177575	ENSG00000257017
