ENSG00000004948	ENSG00000005381	ENSG00000005844	ENSG00000007908	ENSG00000010610	ENSG00000011422	ENSG00000011465	ENSG00000012124	ENSG00000017427	ENSG00000019991	ENSG00000037280	ENSG00000042832	ENSG00000047457	ENSG00000049130	ENSG00000049540	ENSG00000064999	ENSG00000066468	ENSG00000068078	ENSG00000075213	ENSG00000077782	ENSG00000078401	ENSG00000081237	ENSG00000081985	ENSG00000090339	ENSG00000090534	ENSG00000091513	ENSG00000092009	ENSG00000092969	ENSG00000096968	ENSG00000096996	ENSG00000097007	ENSG00000099139	ENSG00000099250	ENSG00000099985	ENSG00000100234	ENSG00000100299	ENSG00000100448	ENSG00000100985	ENSG00000101439	ENSG00000101868	ENSG00000101916	ENSG00000102265	ENSG00000102468	ENSG00000102755	ENSG00000103522	ENSG00000104368	ENSG00000105220	ENSG00000105383	ENSG00000105397	ENSG00000105472	ENSG00000105639	ENSG00000106070	ENSG00000106538	ENSG00000106991	ENSG00000107562	ENSG00000108342	ENSG00000108688	ENSG00000108691	ENSG00000108821	ENSG00000110367	ENSG00000110651	ENSG00000110680	ENSG00000110876	ENSG00000112715	ENSG00000113083	ENSG00000113140	ENSG00000113520	ENSG00000113580	ENSG00000113721	ENSG00000114013	ENSG00000115461	ENSG00000115884	ENSG00000116678	ENSG00000116815	ENSG00000116824	ENSG00000116962	ENSG00000117091	ENSG00000117122	ENSG00000117298	ENSG00000117400	ENSG00000117525	ENSG00000118523	ENSG00000119535	ENSG00000119699	ENSG00000121807	ENSG00000121966	ENSG00000122861	ENSG00000123496	ENSG00000124875	ENSG00000127318	ENSG00000128052	ENSG00000131724	ENSG00000131981	ENSG00000132693	ENSG00000132703	ENSG00000133661	ENSG00000134242	ENSG00000134259	ENSG00000134853	ENSG00000135047	ENSG00000135919	ENSG00000136160	ENSG00000136244	ENSG00000136573	ENSG00000136634	ENSG00000137033	ENSG00000137496	ENSG00000137745	ENSG00000137801	ENSG00000138378	ENSG00000138684	ENSG00000140285	ENSG00000140678	ENSG00000143196	ENSG00000143839	ENSG00000144891	ENSG00000146674	ENSG00000148346	ENSG00000148926	ENSG00000149131	ENSG00000149968	ENSG00000150782	ENSG00000151617	ENSG00000151623	ENSG00000157404	ENSG00000160339	ENSG00000160712	ENSG00000160867	ENSG00000162434	ENSG00000162594	ENSG00000162692	ENSG00000162772	ENSG00000163430	ENSG00000163464	ENSG00000163599	ENSG00000163735	ENSG00000163737	ENSG00000163739	ENSG00000164111	ENSG00000164171	ENSG00000164400	ENSG00000164692	ENSG00000164733	ENSG00000165197	ENSG00000165471	ENSG00000166147	ENSG00000167244	ENSG00000167768	ENSG00000167815	ENSG00000168542	ENSG00000168811	ENSG00000169194	ENSG00000169248	ENSG00000169429	ENSG00000169896	ENSG00000170458	ENSG00000170890	ENSG00000171855	ENSG00000172638	ENSG00000174175	ENSG00000174697	ENSG00000174808	ENSG00000177084	ENSG00000177455	ENSG00000178394	ENSG00000178562	ENSG00000178726	ENSG00000179344	ENSG00000180871	ENSG00000181374	ENSG00000182393	ENSG00000185499	ENSG00000188404	ENSG00000189403	ENSG00000196352	ENSG00000196415	ENSG00000196611	ENSG00000196664	ENSG00000196839	ENSG00000197635	ENSG00000198670	ENSG00000198821	ENSG00000223865	ENSG00000231389	ENSG00000239732	ENSG00000243646	ENSG00000244731	ENSG00000262406	ENSG00000271503	ENSG00000275302	ENSG00000277632
ENSG00000049167	ENSG00000049768	ENSG00000100387	ENSG00000113851	ENSG00000139842	ENSG00000143365	ENSG00000161405	ENSG00000167986
ENSG00000136943	ENSG00000156738	ENSG00000204257	ENSG00000204287	ENSG00000242574
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000073008	ENSG00000150637	ENSG00000181847
ENSG00000126353	ENSG00000172724	ENSG00000186810
ENSG00000140943	ENSG00000176697	ENSG00000185652
ENSG00000004399	ENSG00000170381
ENSG00000006210	ENSG00000168329
ENSG00000028137	ENSG00000226979
ENSG00000051523	ENSG00000165168
ENSG00000061918	ENSG00000164116
ENSG00000087237	ENSG00000175445
ENSG00000088832	ENSG00000228716
ENSG00000091879	ENSG00000154188
ENSG00000100097	ENSG00000181143
ENSG00000102524	ENSG00000161955
ENSG00000108849	ENSG00000131096
ENSG00000109471	ENSG00000134460
ENSG00000110799	ENSG00000160323
ENSG00000113594	ENSG00000134352
ENSG00000115008	ENSG00000143575
ENSG00000118271	ENSG00000138207
ENSG00000118503	ENSG00000145901
ENSG00000125726	ENSG00000139193
ENSG00000135077	ENSG00000168961
ENSG00000136999	ENSG00000196154
ENSG00000138792	ENSG00000187094
ENSG00000143546	ENSG00000163220
ENSG00000160223	ENSG00000163600
ENSG00000160973	ENSG00000183072
ENSG00000166710	ENSG00000168394
ENSG00000167711	ENSG00000197766
ENSG00000215788	ENSG00000243509
