ENSG00000037280	ENSG00000102755	ENSG00000106070	ENSG00000112715	ENSG00000113721	ENSG00000128052	ENSG00000134853	ENSG00000157404	ENSG00000165197	ENSG00000167815
ENSG00000064999	ENSG00000066468	ENSG00000068078	ENSG00000077782	ENSG00000110367	ENSG00000160867	ENSG00000178394
ENSG00000099985	ENSG00000132693	ENSG00000132703	ENSG00000136244	ENSG00000160339	ENSG00000160712	ENSG00000174697
ENSG00000049540	ENSG00000113083	ENSG00000117122	ENSG00000143196	ENSG00000166147	ENSG00000172638
ENSG00000005381	ENSG00000090339	ENSG00000140678	ENSG00000169896
ENSG00000078401	ENSG00000117298	ENSG00000136160	ENSG00000151617
ENSG00000081985	ENSG00000138378	ENSG00000162594	ENSG00000168811
ENSG00000100387	ENSG00000113851	ENSG00000139842	ENSG00000167986
ENSG00000102265	ENSG00000124875	ENSG00000149968	ENSG00000196611
ENSG00000156738	ENSG00000204257	ENSG00000204287	ENSG00000242574
ENSG00000004948	ENSG00000110680	ENSG00000165471
ENSG00000019991	ENSG00000115884	ENSG00000148346
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000049130	ENSG00000105472	ENSG00000164400
ENSG00000073008	ENSG00000150637	ENSG00000181847
ENSG00000108342	ENSG00000119535	ENSG00000170890
ENSG00000113520	ENSG00000123496	ENSG00000169194
ENSG00000179344	ENSG00000223865	ENSG00000231389
ENSG00000004399	ENSG00000170381
ENSG00000006210	ENSG00000168329
ENSG00000061918	ENSG00000164116
ENSG00000088832	ENSG00000228716
ENSG00000091879	ENSG00000154188
ENSG00000092969	ENSG00000118523
ENSG00000099139	ENSG00000143839
ENSG00000100097	ENSG00000181143
ENSG00000101439	ENSG00000244731
ENSG00000101868	ENSG00000177084
ENSG00000101916	ENSG00000196664
ENSG00000103522	ENSG00000138684
ENSG00000108691	ENSG00000181374
ENSG00000110799	ENSG00000160323
ENSG00000118503	ENSG00000145901
ENSG00000125726	ENSG00000139193
ENSG00000126353	ENSG00000172724
ENSG00000134242	ENSG00000198821
ENSG00000135077	ENSG00000168961
ENSG00000143546	ENSG00000163220
ENSG00000160223	ENSG00000163600
ENSG00000163737	ENSG00000178726
ENSG00000198670	ENSG00000262406
