ENSG00000005381	ENSG00000007908	ENSG00000008294	ENSG00000010610	ENSG00000011422	ENSG00000012124	ENSG00000018280	ENSG00000019991	ENSG00000028137	ENSG00000035862	ENSG00000037280	ENSG00000047457	ENSG00000049130	ENSG00000049768	ENSG00000051523	ENSG00000057657	ENSG00000058085	ENSG00000066468	ENSG00000068078	ENSG00000073008	ENSG00000073861	ENSG00000077782	ENSG00000081985	ENSG00000086991	ENSG00000087245	ENSG00000090339	ENSG00000091106	ENSG00000091513	ENSG00000091583	ENSG00000091592	ENSG00000091879	ENSG00000092009	ENSG00000092969	ENSG00000096968	ENSG00000097007	ENSG00000099139	ENSG00000099985	ENSG00000100234	ENSG00000100448	ENSG00000100985	ENSG00000101017	ENSG00000101439	ENSG00000101916	ENSG00000102245	ENSG00000102265	ENSG00000102755	ENSG00000103522	ENSG00000104368	ENSG00000104918	ENSG00000105397	ENSG00000105639	ENSG00000106070	ENSG00000108342	ENSG00000108688	ENSG00000108691	ENSG00000109072	ENSG00000109471	ENSG00000110448	ENSG00000110651	ENSG00000110799	ENSG00000110876	ENSG00000111335	ENSG00000111537	ENSG00000112715	ENSG00000113140	ENSG00000113520	ENSG00000113580	ENSG00000113721	ENSG00000114013	ENSG00000115008	ENSG00000115461	ENSG00000116815	ENSG00000116824	ENSG00000116962	ENSG00000117091	ENSG00000117228	ENSG00000117335	ENSG00000118271	ENSG00000118523	ENSG00000118785	ENSG00000119535	ENSG00000119699	ENSG00000121966	ENSG00000122861	ENSG00000123496	ENSG00000124107	ENSG00000125538	ENSG00000125571	ENSG00000125726	ENSG00000126759	ENSG00000127318	ENSG00000127951	ENSG00000128052	ENSG00000128604	ENSG00000132109	ENSG00000132693	ENSG00000132703	ENSG00000133216	ENSG00000134352	ENSG00000134853	ENSG00000135047	ENSG00000135114	ENSG00000136160	ENSG00000136244	ENSG00000136573	ENSG00000136634	ENSG00000136689	ENSG00000136869	ENSG00000137462	ENSG00000137496	ENSG00000137745	ENSG00000137752	ENSG00000137801	ENSG00000138207	ENSG00000138378	ENSG00000138684	ENSG00000138685	ENSG00000138722	ENSG00000138792	ENSG00000139193	ENSG00000140678	ENSG00000140968	ENSG00000142871	ENSG00000143546	ENSG00000143839	ENSG00000145777	ENSG00000145839	ENSG00000146674	ENSG00000148346	ENSG00000148848	ENSG00000149968	ENSG00000150637	ENSG00000150782	ENSG00000151617	ENSG00000156738	ENSG00000157404	ENSG00000159640	ENSG00000160223	ENSG00000160712	ENSG00000160867	ENSG00000162434	ENSG00000162594	ENSG00000162711	ENSG00000162747	ENSG00000163220	ENSG00000163430	ENSG00000163599	ENSG00000163600	ENSG00000163737	ENSG00000164136	ENSG00000164399	ENSG00000164733	ENSG00000165168	ENSG00000166670	ENSG00000167711	ENSG00000167815	ENSG00000168811	ENSG00000169194	ENSG00000169896	ENSG00000170458	ENSG00000172179	ENSG00000174059	ENSG00000174175	ENSG00000174697	ENSG00000175206	ENSG00000177455	ENSG00000178394	ENSG00000178562	ENSG00000178573	ENSG00000178726	ENSG00000179344	ENSG00000181374	ENSG00000181847	ENSG00000182718	ENSG00000183258	ENSG00000184216	ENSG00000185507	ENSG00000188404	ENSG00000196415	ENSG00000196611	ENSG00000196664	ENSG00000196839	ENSG00000197249	ENSG00000197635	ENSG00000197766	ENSG00000198670	ENSG00000198821	ENSG00000198900	ENSG00000203747	ENSG00000204287	ENSG00000224389	ENSG00000226979	ENSG00000232810	ENSG00000239732	ENSG00000240972	ENSG00000243646	ENSG00000244731
ENSG00000048392	ENSG00000061918	ENSG00000062822	ENSG00000101868	ENSG00000106348	ENSG00000137364	ENSG00000138735	ENSG00000152402	ENSG00000164116	ENSG00000167325	ENSG00000171848	ENSG00000177084	ENSG00000178035	ENSG00000228716
ENSG00000100387	ENSG00000113851	ENSG00000122550	ENSG00000139842	ENSG00000161405	ENSG00000167986
ENSG00000049540	ENSG00000113083	ENSG00000117122	ENSG00000166147	ENSG00000172638
ENSG00000133116	ENSG00000141012	ENSG00000169919	ENSG00000170266
ENSG00000004948	ENSG00000146469	ENSG00000160013
ENSG00000073756	ENSG00000095303	ENSG00000163106
ENSG00000085563	ENSG00000143575	ENSG00000180353
ENSG00000100097	ENSG00000117983	ENSG00000181143
ENSG00000125810	ENSG00000160339	ENSG00000165471
ENSG00000004399	ENSG00000170381
ENSG00000007171	ENSG00000164867
ENSG00000017427	ENSG00000167244
ENSG00000074800	ENSG00000116679
ENSG00000075213	ENSG00000099250
ENSG00000084073	ENSG00000196352
ENSG00000103855	ENSG00000117525
ENSG00000108821	ENSG00000164692
ENSG00000109610	ENSG00000121691
ENSG00000115884	ENSG00000169439
ENSG00000118503	ENSG00000145901
ENSG00000120217	ENSG00000197646
ENSG00000120949	ENSG00000171094
ENSG00000123737	ENSG00000171824
ENSG00000125246	ENSG00000131473
ENSG00000128654	ENSG00000173171
ENSG00000143878	ENSG00000187764
ENSG00000152952	ENSG00000181555
ENSG00000160973	ENSG00000183072
ENSG00000170365	ENSG00000204217
ENSG00000177575	ENSG00000257017
