ENSG00000018280	ENSG00000037280	ENSG00000066468	ENSG00000068078	ENSG00000077782	ENSG00000102755	ENSG00000106070	ENSG00000113721	ENSG00000128052	ENSG00000132109	ENSG00000134853	ENSG00000136573	ENSG00000140968	ENSG00000157404	ENSG00000160867
ENSG00000007908	ENSG00000091583	ENSG00000104368	ENSG00000110876	ENSG00000142871	ENSG00000169896	ENSG00000174059	ENSG00000174175	ENSG00000188404	ENSG00000198670
ENSG00000073861	ENSG00000119535	ENSG00000123496	ENSG00000138378	ENSG00000160712	ENSG00000164136	ENSG00000168811	ENSG00000169194
ENSG00000048392	ENSG00000062822	ENSG00000101868	ENSG00000167325	ENSG00000171848	ENSG00000177084
ENSG00000049540	ENSG00000113083	ENSG00000117122	ENSG00000166147	ENSG00000172638
ENSG00000061918	ENSG00000138735	ENSG00000152402	ENSG00000164116
ENSG00000099139	ENSG00000138792	ENSG00000143839	ENSG00000159640
ENSG00000113851	ENSG00000139842	ENSG00000161405	ENSG00000167986
ENSG00000101916	ENSG00000196664	ENSG00000239732
ENSG00000156738	ENSG00000179344	ENSG00000204287
ENSG00000160223	ENSG00000163599	ENSG00000163600
ENSG00000004399	ENSG00000170381
ENSG00000005381	ENSG00000047457
ENSG00000035862	ENSG00000166670
ENSG00000103855	ENSG00000117525
ENSG00000106348	ENSG00000178035
ENSG00000117335	ENSG00000244731
ENSG00000118503	ENSG00000145901
ENSG00000125246	ENSG00000131473
ENSG00000125571	ENSG00000137496
ENSG00000125726	ENSG00000139193
ENSG00000125810	ENSG00000165471
ENSG00000136160	ENSG00000151617
ENSG00000143546	ENSG00000163220
ENSG00000162747	ENSG00000198821
ENSG00000177575	ENSG00000257017
