ENSG00000005844	ENSG00000007171	ENSG00000008083	ENSG00000018280	ENSG00000019186	ENSG00000020633	ENSG00000027075	ENSG00000055609	ENSG00000061273	ENSG00000065675	ENSG00000066468	ENSG00000067182	ENSG00000068078	ENSG00000082512	ENSG00000085224	ENSG00000088305	ENSG00000088832	ENSG00000096968	ENSG00000099866	ENSG00000099956	ENSG00000100311	ENSG00000100387	ENSG00000100906	ENSG00000101017	ENSG00000101665	ENSG00000103197	ENSG00000104918	ENSG00000105397	ENSG00000105639	ENSG00000106462	ENSG00000107968	ENSG00000108094	ENSG00000108443	ENSG00000108691	ENSG00000109320	ENSG00000109471	ENSG00000110944	ENSG00000111424	ENSG00000111536	ENSG00000111537	ENSG00000113302	ENSG00000113580	ENSG00000113851	ENSG00000114013	ENSG00000115232	ENSG00000115590	ENSG00000115602	ENSG00000115604	ENSG00000117713	ENSG00000118046	ENSG00000118503	ENSG00000119772	ENSG00000120217	ENSG00000121594	ENSG00000121989	ENSG00000124882	ENSG00000125266	ENSG00000128604	ENSG00000131196	ENSG00000132170	ENSG00000132693	ENSG00000133703	ENSG00000133895	ENSG00000134460	ENSG00000134470	ENSG00000134853	ENSG00000134954	ENSG00000134982	ENSG00000136634	ENSG00000136689	ENSG00000136754	ENSG00000136869	ENSG00000137033	ENSG00000138378	ENSG00000138684	ENSG00000139626	ENSG00000139842	ENSG00000140968	ENSG00000141646	ENSG00000141736	ENSG00000142166	ENSG00000142224	ENSG00000143226	ENSG00000143365	ENSG00000145623	ENSG00000145901	ENSG00000148400	ENSG00000150637	ENSG00000150907	ENSG00000153814	ENSG00000156738	ENSG00000157404	ENSG00000157873	ENSG00000159110	ENSG00000159128	ENSG00000160223	ENSG00000160712	ENSG00000161405	ENSG00000162302	ENSG00000162434	ENSG00000162594	ENSG00000162924	ENSG00000163599	ENSG00000163939	ENSG00000164307	ENSG00000164308	ENSG00000166949	ENSG00000167548	ENSG00000167986	ENSG00000168610	ENSG00000168685	ENSG00000168811	ENSG00000169032	ENSG00000169194	ENSG00000169231	ENSG00000171456	ENSG00000172575	ENSG00000172936	ENSG00000175097	ENSG00000175354	ENSG00000175387	ENSG00000176165	ENSG00000178562	ENSG00000178568	ENSG00000179583	ENSG00000181634	ENSG00000184304	ENSG00000184937	ENSG00000185436	ENSG00000185811	ENSG00000186265	ENSG00000196092	ENSG00000196126	ENSG00000196411	ENSG00000196712	ENSG00000197272	ENSG00000198286	ENSG00000198793	ENSG00000198851	ENSG00000204287	ENSG00000226979	ENSG00000227507	ENSG00000232810	ENSG00000243509
ENSG00000022355	ENSG00000094755	ENSG00000102287	ENSG00000109158	ENSG00000113327	ENSG00000115896	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163285	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297	ENSG00000187730
ENSG00000128271	ENSG00000141965	ENSG00000160013	ENSG00000165409	ENSG00000170425	ENSG00000171522
ENSG00000057663	ENSG00000085978	ENSG00000117519	ENSG00000167207
ENSG00000073756	ENSG00000095303	ENSG00000157870	ENSG00000163106
ENSG00000076242	ENSG00000116062	ENSG00000132781	ENSG00000149311
ENSG00000100985	ENSG00000118113	ENSG00000137673	ENSG00000196611
ENSG00000108669	ENSG00000140030	ENSG00000144891	ENSG00000146535
ENSG00000124557	ENSG00000137364	ENSG00000156006	ENSG00000158125
ENSG00000164816	ENSG00000164825	ENSG00000239839
ENSG00000005339	ENSG00000100393
ENSG00000075618	ENSG00000107796
ENSG00000079385	ENSG00000086548
ENSG00000091972	ENSG00000163606
ENSG00000095794	ENSG00000140577
ENSG00000100665	ENSG00000167748
ENSG00000103855	ENSG00000117525
ENSG00000105675	ENSG00000186009
ENSG00000106541	ENSG00000173402
ENSG00000116288	ENSG00000163349
ENSG00000121281	ENSG00000138031
ENSG00000123146	ENSG00000196352
ENSG00000124181	ENSG00000197943
ENSG00000125571	ENSG00000137496
ENSG00000130234	ENSG00000159640
ENSG00000133661	ENSG00000187908
ENSG00000152804	ENSG00000179348
ENSG00000163297	ENSG00000169604
ENSG00000169139	ENSG00000185651
ENSG00000170340	ENSG00000176920
ENSG00000179344	ENSG00000196735
ENSG00000180251	ENSG00000187446
