ENSG00000005421	ENSG00000010610	ENSG00000011485	ENSG00000017427	ENSG00000019991	ENSG00000026508	ENSG00000035862	ENSG00000043591	ENSG00000049130	ENSG00000068001	ENSG00000077463	ENSG00000080618	ENSG00000081041	ENSG00000082556	ENSG00000088926	ENSG00000090539	ENSG00000092009	ENSG00000092969	ENSG00000099866	ENSG00000100234	ENSG00000100292	ENSG00000100299	ENSG00000100604	ENSG00000100665	ENSG00000101439	ENSG00000102265	ENSG00000102575	ENSG00000102962	ENSG00000102970	ENSG00000104321	ENSG00000104368	ENSG00000105664	ENSG00000105894	ENSG00000106366	ENSG00000106991	ENSG00000107562	ENSG00000108691	ENSG00000109758	ENSG00000111341	ENSG00000111537	ENSG00000112038	ENSG00000112280	ENSG00000112486	ENSG00000112715	ENSG00000113580	ENSG00000115008	ENSG00000115009	ENSG00000115138	ENSG00000115380	ENSG00000115457	ENSG00000115461	ENSG00000115486	ENSG00000115594	ENSG00000115884	ENSG00000116329	ENSG00000116962	ENSG00000117601	ENSG00000117984	ENSG00000118113	ENSG00000118257	ENSG00000118271	ENSG00000118432	ENSG00000118523	ENSG00000118785	ENSG00000119630	ENSG00000119699	ENSG00000121552	ENSG00000121807	ENSG00000122194	ENSG00000122861	ENSG00000123610	ENSG00000124875	ENSG00000125378	ENSG00000125510	ENSG00000125538	ENSG00000125730	ENSG00000125845	ENSG00000126218	ENSG00000126353	ENSG00000126759	ENSG00000130164	ENSG00000132031	ENSG00000134259	ENSG00000135919	ENSG00000136689	ENSG00000137077	ENSG00000137673	ENSG00000137745	ENSG00000138207	ENSG00000139219	ENSG00000142798	ENSG00000143839	ENSG00000144476	ENSG00000145649	ENSG00000146072	ENSG00000148346	ENSG00000149418	ENSG00000149968	ENSG00000150594	ENSG00000150630	ENSG00000151388	ENSG00000151623	ENSG00000154736	ENSG00000156234	ENSG00000157766	ENSG00000157873	ENSG00000158859	ENSG00000162692	ENSG00000163453	ENSG00000163631	ENSG00000163737	ENSG00000163815	ENSG00000163956	ENSG00000164104	ENSG00000164171	ENSG00000164251	ENSG00000164400	ENSG00000164733	ENSG00000167748	ENSG00000167779	ENSG00000169194	ENSG00000169241	ENSG00000169252	ENSG00000169344	ENSG00000172156	ENSG00000172270	ENSG00000172724	ENSG00000176136	ENSG00000180210	ENSG00000181374	ENSG00000182175	ENSG00000182492	ENSG00000183813	ENSG00000184371	ENSG00000186265	ENSG00000186810	ENSG00000188488	ENSG00000188778	ENSG00000188822	ENSG00000196611	ENSG00000196689	ENSG00000196839	ENSG00000197249	ENSG00000197635	ENSG00000205403	ENSG00000226979	ENSG00000227507	ENSG00000232810	ENSG00000242252	ENSG00000243649	ENSG00000277632
ENSG00000087494	ENSG00000099985	ENSG00000106113	ENSG00000120088	ENSG00000132693	ENSG00000136244	ENSG00000142538	ENSG00000144407	ENSG00000145040	ENSG00000147571	ENSG00000152266	ENSG00000160712	ENSG00000160801	ENSG00000163794	ENSG00000174697	ENSG00000178473
ENSG00000067191	ENSG00000101152	ENSG00000132639	ENSG00000137285	ENSG00000139211	ENSG00000141837	ENSG00000148408	ENSG00000151067	ENSG00000165995	ENSG00000167535	ENSG00000182389
ENSG00000007314	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000168356	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000123416	ENSG00000127824	ENSG00000167552	ENSG00000188229	ENSG00000196230	ENSG00000258947
ENSG00000004948	ENSG00000078618	ENSG00000110680	ENSG00000175868
ENSG00000023191	ENSG00000134363	ENSG00000163430	ENSG00000214274
ENSG00000140943	ENSG00000157613	ENSG00000176697	ENSG00000185652
ENSG00000012223	ENSG00000090382	ENSG00000179914
ENSG00000041982	ENSG00000100097	ENSG00000127329
ENSG00000093010	ENSG00000159640	ENSG00000168398
ENSG00000103546	ENSG00000142319	ENSG00000157388
ENSG00000106538	ENSG00000143387	ENSG00000174600
ENSG00000006016	ENSG00000175505
ENSG00000006210	ENSG00000168329
ENSG00000048392	ENSG00000171848
ENSG00000070404	ENSG00000138379
ENSG00000089041	ENSG00000135124
ENSG00000102174	ENSG00000118972
ENSG00000102524	ENSG00000159958
ENSG00000103313	ENSG00000164597
ENSG00000103522	ENSG00000138684
ENSG00000104267	ENSG00000228716
ENSG00000105220	ENSG00000159461
ENSG00000106128	ENSG00000118702
ENSG00000112115	ENSG00000177663
ENSG00000112175	ENSG00000125965
ENSG00000113083	ENSG00000172638
ENSG00000115604	ENSG00000150782
ENSG00000118217	ENSG00000198911
ENSG00000120337	ENSG00000186891
ENSG00000120659	ENSG00000164761
ENSG00000120907	ENSG00000170214
ENSG00000123146	ENSG00000196352
ENSG00000124145	ENSG00000148848
ENSG00000134569	ENSG00000167941
ENSG00000135077	ENSG00000168961
ENSG00000135960	ENSG00000158813
ENSG00000136999	ENSG00000196154
ENSG00000140479	ENSG00000143631
ENSG00000140835	ENSG00000174059
ENSG00000143546	ENSG00000163220
ENSG00000160223	ENSG00000163600
ENSG00000162733	ENSG00000204248
ENSG00000162892	ENSG00000171855
ENSG00000173153	ENSG00000196482
ENSG00000174175	ENSG00000196371
ENSG00000196664	ENSG00000239732
