ENSG00000035862	ENSG00000060718	ENSG00000080618	ENSG00000088926	ENSG00000100234	ENSG00000100604	ENSG00000104368	ENSG00000105664	ENSG00000105825	ENSG00000112280	ENSG00000113083	ENSG00000115380	ENSG00000115486	ENSG00000117601	ENSG00000118113	ENSG00000120659	ENSG00000122194	ENSG00000122707	ENSG00000124107	ENSG00000126218	ENSG00000126759	ENSG00000132031	ENSG00000134259	ENSG00000136378	ENSG00000137673	ENSG00000137745	ENSG00000140943	ENSG00000143387	ENSG00000146674	ENSG00000149968	ENSG00000151388	ENSG00000154736	ENSG00000156103	ENSG00000158859	ENSG00000162510	ENSG00000163815	ENSG00000164733	ENSG00000164761	ENSG00000172638	ENSG00000196611	ENSG00000196664	ENSG00000197632	ENSG00000239732	ENSG00000243649
ENSG00000006116	ENSG00000006283	ENSG00000007402	ENSG00000058404	ENSG00000067191	ENSG00000075429	ENSG00000075461	ENSG00000081248	ENSG00000100346	ENSG00000102001	ENSG00000105605	ENSG00000108878	ENSG00000130433	ENSG00000136531	ENSG00000141837	ENSG00000142408	ENSG00000144285	ENSG00000148408	ENSG00000151062	ENSG00000151067	ENSG00000153253	ENSG00000153956	ENSG00000157388	ENSG00000157445	ENSG00000165995	ENSG00000166862	ENSG00000167535	ENSG00000169432	ENSG00000182389	ENSG00000183873	ENSG00000185313	ENSG00000196557	ENSG00000196876	ENSG00000198216
ENSG00000022355	ENSG00000094755	ENSG00000102287	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163285	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297	ENSG00000187730
ENSG00000101162	ENSG00000104833	ENSG00000123416	ENSG00000127824	ENSG00000137267	ENSG00000137285	ENSG00000152086	ENSG00000158560	ENSG00000167552	ENSG00000167553	ENSG00000176014	ENSG00000188229	ENSG00000197653
ENSG00000004948	ENSG00000043591	ENSG00000112164	ENSG00000120907	ENSG00000151276	ENSG00000160801	ENSG00000169252	ENSG00000170214	ENSG00000171873	ENSG00000175868	ENSG00000188778	ENSG00000196639
ENSG00000005381	ENSG00000073756	ENSG00000095303	ENSG00000107317	ENSG00000148344	ENSG00000163106	ENSG00000164120
ENSG00000050628	ENSG00000082556	ENSG00000112038	ENSG00000116329	ENSG00000150594	ENSG00000184160
ENSG00000092009	ENSG00000138792	ENSG00000143839	ENSG00000159640	ENSG00000180772	ENSG00000196136
ENSG00000157873	ENSG00000186265	ENSG00000226979	ENSG00000227507
ENSG00000069011	ENSG00000078328	ENSG00000157110
ENSG00000101144	ENSG00000112175	ENSG00000125965
ENSG00000105650	ENSG00000113448	ENSG00000184588
ENSG00000112115	ENSG00000112116	ENSG00000177663
ENSG00000120088	ENSG00000163794	ENSG00000178473
ENSG00000070404	ENSG00000138379
ENSG00000100665	ENSG00000167748
ENSG00000101152	ENSG00000132639
ENSG00000102575	ENSG00000197594
ENSG00000103044	ENSG00000105509
ENSG00000103546	ENSG00000108576
ENSG00000104267	ENSG00000167434
ENSG00000104918	ENSG00000113580
ENSG00000105675	ENSG00000186009
ENSG00000107984	ENSG00000155011
ENSG00000109758	ENSG00000149418
ENSG00000111424	ENSG00000124151
ENSG00000115159	ENSG00000152642
ENSG00000115461	ENSG00000148848
ENSG00000123146	ENSG00000196352
ENSG00000125378	ENSG00000125845
ENSG00000125538	ENSG00000136689
ENSG00000134532	ENSG00000185960
ENSG00000135960	ENSG00000158813
ENSG00000138316	ENSG00000156140
ENSG00000143546	ENSG00000163220
ENSG00000156804	ENSG00000206075
ENSG00000163501	ENSG00000164161
