ENSG00000006071	ENSG00000007314	ENSG00000043591	ENSG00000061938	ENSG00000064692	ENSG00000066427	ENSG00000074317	ENSG00000081803	ENSG00000082556	ENSG00000085377	ENSG00000100505	ENSG00000100665	ENSG00000101188	ENSG00000101200	ENSG00000101210	ENSG00000101439	ENSG00000102468	ENSG00000103546	ENSG00000104888	ENSG00000105464	ENSG00000106305	ENSG00000107295	ENSG00000108387	ENSG00000108576	ENSG00000110911	ENSG00000112038	ENSG00000115138	ENSG00000116032	ENSG00000116288	ENSG00000116329	ENSG00000117984	ENSG00000118432	ENSG00000118508	ENSG00000120251	ENSG00000120907	ENSG00000122756	ENSG00000126858	ENSG00000126895	ENSG00000128271	ENSG00000130203	ENSG00000130561	ENSG00000132639	ENSG00000132693	ENSG00000132718	ENSG00000133636	ENSG00000134243	ENSG00000134259	ENSG00000134640	ENSG00000135312	ENSG00000136244	ENSG00000136531	ENSG00000136816	ENSG00000136827	ENSG00000138031	ENSG00000140943	ENSG00000142319	ENSG00000143420	ENSG00000143839	ENSG00000144285	ENSG00000145335	ENSG00000145349	ENSG00000145730	ENSG00000147571	ENSG00000148408	ENSG00000149295	ENSG00000149403	ENSG00000150594	ENSG00000150672	ENSG00000151067	ENSG00000151552	ENSG00000151577	ENSG00000153253	ENSG00000154237	ENSG00000154277	ENSG00000155511	ENSG00000157193	ENSG00000158828	ENSG00000158874	ENSG00000159082	ENSG00000160307	ENSG00000161610	ENSG00000163485	ENSG00000163794	ENSG00000163956	ENSG00000164082	ENSG00000164270	ENSG00000164418	ENSG00000164733	ENSG00000166033	ENSG00000166148	ENSG00000166170	ENSG00000167755	ENSG00000168356	ENSG00000168412	ENSG00000168539	ENSG00000168993	ENSG00000169252	ENSG00000169432	ENSG00000170214	ENSG00000170775	ENSG00000171109	ENSG00000171189	ENSG00000171368	ENSG00000174697	ENSG00000176697	ENSG00000176884	ENSG00000177628	ENSG00000180176	ENSG00000181072	ENSG00000182220	ENSG00000183454	ENSG00000183873	ENSG00000184160	ENSG00000184702	ENSG00000184845	ENSG00000185313	ENSG00000185345	ENSG00000185359	ENSG00000185624	ENSG00000185652	ENSG00000185896	ENSG00000186868	ENSG00000187486	ENSG00000188778	ENSG00000188906	ENSG00000189056	ENSG00000196839	ENSG00000196876	ENSG00000198049	ENSG00000198785	ENSG00000204842	ENSG00000225950	ENSG00000234906	ENSG00000242689	ENSG00000258839	ENSG00000266964	ENSG00000273079
ENSG00000012504	ENSG00000111424	ENSG00000112033	ENSG00000138109	ENSG00000143171	ENSG00000153234	ENSG00000160868	ENSG00000197408	ENSG00000204231
ENSG00000080644	ENSG00000101204	ENSG00000117971	ENSG00000160716	ENSG00000163032	ENSG00000169684
ENSG00000108342	ENSG00000119535	ENSG00000164400	ENSG00000170890	ENSG00000198223
ENSG00000004948	ENSG00000110680	ENSG00000121351	ENSG00000132329
ENSG00000005381	ENSG00000012223	ENSG00000047457	ENSG00000165240
ENSG00000087086	ENSG00000090104	ENSG00000139625	ENSG00000173327
ENSG00000151892	ENSG00000168546	ENSG00000168621	ENSG00000171119
ENSG00000010704	ENSG00000091513	ENSG00000106327
ENSG00000019991	ENSG00000105707	ENSG00000148346
ENSG00000034677	ENSG00000142168	ENSG00000185615
ENSG00000035862	ENSG00000118113	ENSG00000169344
ENSG00000049860	ENSG00000087085	ENSG00000114200
ENSG00000069329	ENSG00000111237	ENSG00000122958
ENSG00000073756	ENSG00000104805	ENSG00000198727
ENSG00000106018	ENSG00000139174	ENSG00000146469
ENSG00000110148	ENSG00000138792	ENSG00000187094
ENSG00000113327	ENSG00000169676	ENSG00000178394
ENSG00000122585	ENSG00000185149	ENSG00000204174
ENSG00000196126	ENSG00000198502	ENSG00000204287
ENSG00000005893	ENSG00000064601
ENSG00000005961	ENSG00000110799
ENSG00000006210	ENSG00000168329
ENSG00000010310	ENSG00000159224
ENSG00000022355	ENSG00000069696
ENSG00000040608	ENSG00000105695
ENSG00000071054	ENSG00000125249
ENSG00000084207	ENSG00000117592
ENSG00000087250	ENSG00000100292
ENSG00000093010	ENSG00000159640
ENSG00000101868	ENSG00000177084
ENSG00000102265	ENSG00000149968
ENSG00000102452	ENSG00000133019
ENSG00000104763	ENSG00000166311
ENSG00000105048	ENSG00000140416
ENSG00000105697	ENSG00000138449
ENSG00000106688	ENSG00000144746
ENSG00000108515	ENSG00000111674
ENSG00000112715	ENSG00000119630
ENSG00000113520	ENSG00000123496
ENSG00000115353	ENSG00000169836
ENSG00000120948	ENSG00000151923
ENSG00000125378	ENSG00000182492
ENSG00000126759	ENSG00000243649
ENSG00000130758	ENSG00000167085
ENSG00000135678	ENSG00000138798
ENSG00000136928	ENSG00000204681
ENSG00000140092	ENSG00000198670
ENSG00000157368	ENSG00000182578
ENSG00000160932	ENSG00000182704
ENSG00000168209	ENSG00000265972
ENSG00000198695	ENSG00000198888
