ENSG00000006071	ENSG00000061938	ENSG00000064692	ENSG00000101210	ENSG00000103546	ENSG00000104888	ENSG00000106305	ENSG00000107295	ENSG00000108576	ENSG00000110911	ENSG00000116288	ENSG00000118432	ENSG00000126858	ENSG00000128271	ENSG00000132718	ENSG00000136816	ENSG00000136827	ENSG00000142319	ENSG00000145335	ENSG00000149295	ENSG00000149403	ENSG00000154237	ENSG00000158828	ENSG00000159082	ENSG00000163485	ENSG00000164418	ENSG00000167755	ENSG00000170775	ENSG00000171109	ENSG00000177628	ENSG00000180176	ENSG00000184845	ENSG00000185345	ENSG00000185896	ENSG00000186868	ENSG00000187486	ENSG00000188906	ENSG00000196839	ENSG00000204842
ENSG00000007314	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000168356	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000082556	ENSG00000112038	ENSG00000116329	ENSG00000164270	ENSG00000169252	ENSG00000170214	ENSG00000181072	ENSG00000188778
ENSG00000116032	ENSG00000150672	ENSG00000176884	ENSG00000183454	ENSG00000198785	ENSG00000273079
ENSG00000080644	ENSG00000101204	ENSG00000117971	ENSG00000160716	ENSG00000169684
ENSG00000108342	ENSG00000119535	ENSG00000164400	ENSG00000170890
ENSG00000151892	ENSG00000168546	ENSG00000168621	ENSG00000171119
ENSG00000010704	ENSG00000091513	ENSG00000106327
ENSG00000043591	ENSG00000150594	ENSG00000154277
ENSG00000049860	ENSG00000087085	ENSG00000114200
ENSG00000069329	ENSG00000111237	ENSG00000122958
ENSG00000100505	ENSG00000132639	ENSG00000168993
ENSG00000101439	ENSG00000117984	ENSG00000164733
ENSG00000111424	ENSG00000138109	ENSG00000197408
ENSG00000113327	ENSG00000169676	ENSG00000178394
ENSG00000126895	ENSG00000166148	ENSG00000198049
ENSG00000196126	ENSG00000198502	ENSG00000204287
ENSG00000005381	ENSG00000047457
ENSG00000005893	ENSG00000064601
ENSG00000006210	ENSG00000168329
ENSG00000010310	ENSG00000159224
ENSG00000022355	ENSG00000069696
ENSG00000071054	ENSG00000125249
ENSG00000101188	ENSG00000133636
ENSG00000101868	ENSG00000177084
ENSG00000102452	ENSG00000133019
ENSG00000102468	ENSG00000164082
ENSG00000104763	ENSG00000166311
ENSG00000105697	ENSG00000138449
ENSG00000106688	ENSG00000144746
ENSG00000108515	ENSG00000111674
ENSG00000110680	ENSG00000132329
ENSG00000120251	ENSG00000155511
ENSG00000120907	ENSG00000168539
ENSG00000134640	ENSG00000168412
ENSG00000136928	ENSG00000204681
ENSG00000138792	ENSG00000187094
ENSG00000139174	ENSG00000146469
ENSG00000145730	ENSG00000266964
ENSG00000160932	ENSG00000182704
