ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000010610	ENSG00000081237	ENSG00000081985	ENSG00000100226	ENSG00000105397	ENSG00000107562	ENSG00000110944	ENSG00000113302	ENSG00000128604	ENSG00000136634	ENSG00000138378	ENSG00000142166	ENSG00000162594	ENSG00000168811	ENSG00000171855	ENSG00000179344	ENSG00000185436	ENSG00000188379	ENSG00000237541
ENSG00000019582	ENSG00000026508	ENSG00000102265	ENSG00000137673	ENSG00000156738	ENSG00000196126	ENSG00000196611	ENSG00000198502	ENSG00000204257	ENSG00000204287	ENSG00000240972	ENSG00000242574
ENSG00000030419	ENSG00000100387	ENSG00000113851	ENSG00000139842	ENSG00000161405	ENSG00000167986	ENSG00000177479	ENSG00000185651	ENSG00000185811
ENSG00000101439	ENSG00000117322	ENSG00000166278	ENSG00000171860	ENSG00000196352	ENSG00000197043	ENSG00000203710	ENSG00000224389	ENSG00000244731
ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000163599	ENSG00000188389	ENSG00000197646
ENSG00000048462	ENSG00000102524	ENSG00000159958	ENSG00000161955
ENSG00000057663	ENSG00000085978	ENSG00000115267	ENSG00000168010
ENSG00000072694	ENSG00000136167	ENSG00000136573	ENSG00000143226
ENSG00000131015	ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000005844	ENSG00000076662	ENSG00000105376
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000073756	ENSG00000133028	ENSG00000198727
ENSG00000104972	ENSG00000134545	ENSG00000204632
ENSG00000118113	ENSG00000169344	ENSG00000226979
ENSG00000126337	ENSG00000189403	ENSG00000239732
ENSG00000126351	ENSG00000132170	ENSG00000151090
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000006210	ENSG00000168329
ENSG00000062822	ENSG00000183479
ENSG00000088827	ENSG00000197471
ENSG00000088832	ENSG00000228716
ENSG00000093010	ENSG00000159640
ENSG00000101868	ENSG00000177084
ENSG00000102970	ENSG00000179934
ENSG00000103522	ENSG00000138684
ENSG00000108691	ENSG00000181374
ENSG00000109471	ENSG00000134460
ENSG00000110799	ENSG00000160323
ENSG00000112486	ENSG00000164825
ENSG00000113249	ENSG00000145850
ENSG00000116701	ENSG00000117592
ENSG00000118503	ENSG00000145901
ENSG00000120337	ENSG00000186891
ENSG00000122359	ENSG00000197956
ENSG00000123416	ENSG00000258947
ENSG00000125726	ENSG00000139193
ENSG00000126353	ENSG00000137077
ENSG00000127318	ENSG00000164485
ENSG00000135077	ENSG00000168961
ENSG00000136816	ENSG00000136827
ENSG00000137496	ENSG00000150782
ENSG00000140943	ENSG00000157613
ENSG00000150637	ENSG00000181847
ENSG00000156234	ENSG00000160683
ENSG00000160223	ENSG00000163600
ENSG00000169418	ENSG00000175206
