ENSG00000005381	ENSG00000005844	ENSG00000007908	ENSG00000010610	ENSG00000010671	ENSG00000012124	ENSG00000013725	ENSG00000018280	ENSG00000019582	ENSG00000026508	ENSG00000049768	ENSG00000058085	ENSG00000072694	ENSG00000073756	ENSG00000073861	ENSG00000076662	ENSG00000081985	ENSG00000088827	ENSG00000090659	ENSG00000091583	ENSG00000095303	ENSG00000096968	ENSG00000100097	ENSG00000101017	ENSG00000101916	ENSG00000102245	ENSG00000104918	ENSG00000105371	ENSG00000105397	ENSG00000107485	ENSG00000108679	ENSG00000108691	ENSG00000110448	ENSG00000110876	ENSG00000113302	ENSG00000113580	ENSG00000114013	ENSG00000116962	ENSG00000117322	ENSG00000117335	ENSG00000118004	ENSG00000118113	ENSG00000119535	ENSG00000119917	ENSG00000120217	ENSG00000121594	ENSG00000125571	ENSG00000125726	ENSG00000125810	ENSG00000128604	ENSG00000131981	ENSG00000132693	ENSG00000134061	ENSG00000134460	ENSG00000134954	ENSG00000136573	ENSG00000136630	ENSG00000136634	ENSG00000137101	ENSG00000137496	ENSG00000137673	ENSG00000138378	ENSG00000138684	ENSG00000139193	ENSG00000140678	ENSG00000140968	ENSG00000142166	ENSG00000142748	ENSG00000143226	ENSG00000149968	ENSG00000150782	ENSG00000156738	ENSG00000160223	ENSG00000160255	ENSG00000160710	ENSG00000162594	ENSG00000162747	ENSG00000163106	ENSG00000163430	ENSG00000163599	ENSG00000163600	ENSG00000165471	ENSG00000168811	ENSG00000169896	ENSG00000170458	ENSG00000173372	ENSG00000173402	ENSG00000173762	ENSG00000174059	ENSG00000174175	ENSG00000177455	ENSG00000178562	ENSG00000179344	ENSG00000184216	ENSG00000185187	ENSG00000185507	ENSG00000188389	ENSG00000188404	ENSG00000196126	ENSG00000196611	ENSG00000196664	ENSG00000196735	ENSG00000197471	ENSG00000198670	ENSG00000203710	ENSG00000203747	ENSG00000204287	ENSG00000223865	ENSG00000224389	ENSG00000237541	ENSG00000239732	ENSG00000244731
ENSG00000004779	ENSG00000023228	ENSG00000065518	ENSG00000090266	ENSG00000099795	ENSG00000102967	ENSG00000110717	ENSG00000115286	ENSG00000119013	ENSG00000119421	ENSG00000123545	ENSG00000125356	ENSG00000128609	ENSG00000130414	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147123	ENSG00000147684	ENSG00000151366	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000168653	ENSG00000174886	ENSG00000178057	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000186010	ENSG00000189043	ENSG00000196352	ENSG00000198695	ENSG00000198763	ENSG00000198786	ENSG00000198840	ENSG00000198886	ENSG00000198888	ENSG00000212907	ENSG00000213619	ENSG00000267855
ENSG00000079999	ENSG00000100387	ENSG00000101347	ENSG00000113851	ENSG00000138942	ENSG00000139842	ENSG00000161405	ENSG00000167986	ENSG00000170035	ENSG00000177479	ENSG00000185651	ENSG00000185811	ENSG00000198612
ENSG00000057663	ENSG00000079432	ENSG00000085978	ENSG00000124788	ENSG00000136167	ENSG00000145907	ENSG00000168010	ENSG00000168488	ENSG00000204842
ENSG00000026751	ENSG00000066294	ENSG00000117090	ENSG00000117091	ENSG00000122223	ENSG00000162739	ENSG00000183918	ENSG00000198574
ENSG00000082175	ENSG00000091831	ENSG00000111424	ENSG00000126351	ENSG00000132170	ENSG00000140009	ENSG00000151090	ENSG00000153814
ENSG00000101162	ENSG00000123416	ENSG00000137267	ENSG00000137285	ENSG00000152086	ENSG00000167553	ENSG00000176014
ENSG00000048462	ENSG00000102524	ENSG00000159958	ENSG00000161955	ENSG00000240505
ENSG00000129422	ENSG00000130234	ENSG00000138792	ENSG00000143839	ENSG00000159640
ENSG00000003436	ENSG00000103855	ENSG00000117525	ENSG00000145850
ENSG00000134539	ENSG00000134545	ENSG00000204592	ENSG00000205809
ENSG00000086475	ENSG00000132330	ENSG00000198431
ENSG00000087302	ENSG00000100503	ENSG00000171262
ENSG00000101911	ENSG00000128059	ENSG00000153574
ENSG00000106348	ENSG00000137364	ENSG00000178035
ENSG00000152689	ENSG00000172575	ENSG00000213445
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000019186	ENSG00000111012
ENSG00000048392	ENSG00000167325
ENSG00000062822	ENSG00000177084
ENSG00000091972	ENSG00000163606
ENSG00000101323	ENSG00000121691
ENSG00000106952	ENSG00000120949
ENSG00000110435	ENSG00000150768
ENSG00000114923	ENSG00000167434
ENSG00000116747	ENSG00000138385
ENSG00000117592	ENSG00000167815
ENSG00000118503	ENSG00000145901
ENSG00000120337	ENSG00000186891
ENSG00000125246	ENSG00000131473
ENSG00000130382	ENSG00000172493
ENSG00000131015	ENSG00000213809
ENSG00000131042	ENSG00000204632
ENSG00000134258	ENSG00000186265
ENSG00000134321	ENSG00000160752
ENSG00000139915	ENSG00000254415
ENSG00000143546	ENSG00000163220
ENSG00000163207	ENSG00000167768
ENSG00000164825	ENSG00000239839
ENSG00000166349	ENSG00000175097
ENSG00000171522	ENSG00000185231
ENSG00000177575	ENSG00000257017
ENSG00000226979	ENSG00000227507
