ENSG00000004779	ENSG00000023228	ENSG00000065518	ENSG00000090266	ENSG00000099795	ENSG00000102967	ENSG00000110717	ENSG00000115286	ENSG00000119013	ENSG00000119421	ENSG00000123545	ENSG00000125356	ENSG00000128609	ENSG00000130414	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147123	ENSG00000147684	ENSG00000151366	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000168653	ENSG00000174886	ENSG00000178057	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000186010	ENSG00000189043	ENSG00000196352	ENSG00000198695	ENSG00000198763	ENSG00000198786	ENSG00000198840	ENSG00000198886	ENSG00000198888	ENSG00000212907	ENSG00000213619	ENSG00000267855
ENSG00000117322	ENSG00000117335	ENSG00000165471	ENSG00000203710	ENSG00000224389	ENSG00000244731
ENSG00000120217	ENSG00000121594	ENSG00000160223	ENSG00000163599	ENSG00000163600	ENSG00000188389
ENSG00000113851	ENSG00000139842	ENSG00000161405	ENSG00000167986	ENSG00000185811
ENSG00000048462	ENSG00000102524	ENSG00000159958	ENSG00000161955
ENSG00000079432	ENSG00000124788	ENSG00000136167	ENSG00000204842
ENSG00000082175	ENSG00000126351	ENSG00000140009	ENSG00000151090
ENSG00000184216	ENSG00000185187	ENSG00000196664	ENSG00000239732
ENSG00000057663	ENSG00000085978	ENSG00000168010
ENSG00000072694	ENSG00000136573	ENSG00000143226
ENSG00000152689	ENSG00000172575	ENSG00000213445
ENSG00000073756	ENSG00000095303
ENSG00000091972	ENSG00000163606
ENSG00000103855	ENSG00000145850
ENSG00000106348	ENSG00000178035
ENSG00000106952	ENSG00000120949
ENSG00000114923	ENSG00000167434
ENSG00000117091	ENSG00000122223
ENSG00000118503	ENSG00000145901
ENSG00000125246	ENSG00000131473
ENSG00000125571	ENSG00000137496
ENSG00000125726	ENSG00000139193
ENSG00000128604	ENSG00000140968
ENSG00000131015	ENSG00000213809
ENSG00000134258	ENSG00000186265
ENSG00000134321	ENSG00000160752
ENSG00000136630	ENSG00000138378
ENSG00000140678	ENSG00000169896
ENSG00000156738	ENSG00000204287
ENSG00000177479	ENSG00000185651
ENSG00000179344	ENSG00000196735
ENSG00000181634	ENSG00000243509
