#Linkers: 
#Core	Expansion
ENSG00000022355 ENSG00000069696	
ENSG00000004948 ENSG00000110680 ENSG00000121351 ENSG00000128165 ENSG00000132329 ENSG00000175868	
ENSG00000061918 ENSG00000164116	
ENSG00000113327 ENSG00000169676	
ENSG00000082556 ENSG00000112038 ENSG00000115008 ENSG00000115138 ENSG00000115594 ENSG00000116329 ENSG00000116729 ENSG00000118113 ENSG00000125538 ENSG00000135312 ENSG00000136689 ENSG00000136697 ENSG00000144481 ENSG00000164270 ENSG00000169252 ENSG00000169344 ENSG00000170214 ENSG00000181072 ENSG00000185231 ENSG00000188778 ENSG00000226979 ENSG00000227507 ENSG00000258839	
ENSG00000056291 ENSG00000105954 ENSG00000122585 ENSG00000131096 ENSG00000139574 ENSG00000148734 ENSG00000185149 ENSG00000204174	
ENSG00000107562 ENSG00000144476	
ENSG00000106113 ENSG00000145040 ENSG00000147571 ENSG00000163794 ENSG00000174697 ENSG00000178473	
ENSG00000111424 ENSG00000138109 ENSG00000160868 ENSG00000171234 ENSG00000197408	
ENSG00000110148 ENSG00000138792 ENSG00000163394 ENSG00000187094	
ENSG00000140943 ENSG00000157613 ENSG00000176697 ENSG00000185652	
ENSG00000108684 ENSG00000213199	
ENSG00000108691 ENSG00000121807 ENSG00000156234 ENSG00000160683 ENSG00000163823 ENSG00000277632	
ENSG00000108556 ENSG00000135902 ENSG00000138435	
ENSG00000108405 ENSG00000109991 ENSG00000187848	
ENSG00000137745 ENSG00000154736	
ENSG00000104321 ENSG00000118432 ENSG00000121853 ENSG00000128271 ENSG00000132671 ENSG00000137252 ENSG00000139874 ENSG00000149295 ENSG00000157005 ENSG00000161610 ENSG00000162009 ENSG00000162105 ENSG00000163485 ENSG00000167723 ENSG00000169241 ENSG00000169860 ENSG00000180616 ENSG00000183695 ENSG00000187688 ENSG00000196689 ENSG00000196839 ENSG00000241563 ENSG00000278195	
ENSG00000140092 ENSG00000198670	
ENSG00000089041 ENSG00000110218 ENSG00000135124	
ENSG00000163624 ENSG00000260314	
ENSG00000137496 ENSG00000150782	
ENSG00000049130 ENSG00000105472 ENSG00000164400	
ENSG00000120907 ENSG00000168539	
ENSG00000101204 ENSG00000160716 ENSG00000163032	
ENSG00000106018 ENSG00000146469	
ENSG00000023228 ENSG00000110717 ENSG00000115286 ENSG00000128311 ENSG00000131495 ENSG00000139180 ENSG00000140990 ENSG00000145494 ENSG00000147684 ENSG00000158864 ENSG00000160194 ENSG00000164258 ENSG00000166136 ENSG00000167792 ENSG00000178127 ENSG00000184752 ENSG00000184983 ENSG00000198888	
ENSG00000139842 ENSG00000167986	
ENSG00000108515 ENSG00000111674	
ENSG00000120337 ENSG00000186891	
ENSG00000102468 ENSG00000164082	
ENSG00000159164 ENSG00000198216	
ENSG00000067191 ENSG00000101152 ENSG00000141837 ENSG00000148408 ENSG00000151067 ENSG00000165995 ENSG00000167535 ENSG00000182389	
ENSG00000115353 ENSG00000176358	
ENSG00000128609 ENSG00000183648	
ENSG00000082175 ENSG00000119138	
ENSG00000100151 ENSG00000103546 ENSG00000120251 ENSG00000149403 ENSG00000155511 ENSG00000164418 ENSG00000171189	
ENSG00000106538 ENSG00000143387 ENSG00000174600	
ENSG00000007314 ENSG00000136531 ENSG00000144285 ENSG00000151150 ENSG00000153253 ENSG00000168356 ENSG00000169432 ENSG00000183873 ENSG00000185313 ENSG00000196876	
ENSG00000087250 ENSG00000100292	
ENSG00000006071 ENSG00000187486	
ENSG00000043591 ENSG00000150594 ENSG00000154277	
ENSG00000006210 ENSG00000168329	
ENSG00000126010 ENSG00000134443 ENSG00000170890	
ENSG00000120438 ENSG00000177628	
ENSG00000116032 ENSG00000176884 ENSG00000183454 ENSG00000198785 ENSG00000273079	
ENSG00000102755 ENSG00000112715	
ENSG00000136928 ENSG00000204681	
ENSG00000070019 ENSG00000197273	
ENSG00000151892 ENSG00000168546 ENSG00000168621 ENSG00000171119	
ENSG00000046653 ENSG00000108576	
ENSG00000050628 ENSG00000160951	
ENSG00000134259 ENSG00000137673 ENSG00000196611	
ENSG00000101200 ENSG00000101405 ENSG00000126895 ENSG00000140009 ENSG00000166148 ENSG00000180914 ENSG00000198049	
ENSG00000112294 ENSG00000183044	
ENSG00000109738 ENSG00000145888	
ENSG00000140835 ENSG00000174059	
ENSG00000087085 ENSG00000114200	
ENSG00000125510 ENSG00000168081	
ENSG00000099139 ENSG00000104899	
ENSG00000102174 ENSG00000118972	
ENSG00000142538 ENSG00000144407 ENSG00000152266	
ENSG00000102854 ENSG00000181143	
ENSG00000128683 ENSG00000136750	
ENSG00000089234 ENSG00000100079	
ENSG00000182578 ENSG00000184371	
ENSG00000162892 ENSG00000171855	
