#Linkers: 
#Core	Expansion
ENSG00000022355 ENSG00000094755 ENSG00000102287 ENSG00000109158 ENSG00000109738 ENSG00000113327 ENSG00000145863 ENSG00000145864 ENSG00000145888 ENSG00000151834 ENSG00000163285 ENSG00000163288 ENSG00000166206 ENSG00000182256 ENSG00000186297 ENSG00000187730	
ENSG00000061918 ENSG00000152402 ENSG00000164116	
ENSG00000105675 ENSG00000186009	
ENSG00000050628 ENSG00000069696 ENSG00000082556 ENSG00000112038 ENSG00000116329 ENSG00000118432 ENSG00000135312 ENSG00000149295 ENSG00000150594 ENSG00000151577 ENSG00000163485 ENSG00000179097 ENSG00000181072 ENSG00000184160	
ENSG00000145632 ENSG00000185043	
ENSG00000006116 ENSG00000006283 ENSG00000007402 ENSG00000067191 ENSG00000075429 ENSG00000075461 ENSG00000081248 ENSG00000100346 ENSG00000102001 ENSG00000105464 ENSG00000105605 ENSG00000105737 ENSG00000108878 ENSG00000116032 ENSG00000120251 ENSG00000130433 ENSG00000141837 ENSG00000142408 ENSG00000148408 ENSG00000149403 ENSG00000151062 ENSG00000151067 ENSG00000152578 ENSG00000153956 ENSG00000155511 ENSG00000157388 ENSG00000161509 ENSG00000163873 ENSG00000164418 ENSG00000165995 ENSG00000166862 ENSG00000167535 ENSG00000171189 ENSG00000176884 ENSG00000182389 ENSG00000182771 ENSG00000183454 ENSG00000196557 ENSG00000198216 ENSG00000198785	
ENSG00000043591 ENSG00000125384 ENSG00000128271 ENSG00000169252 ENSG00000170425 ENSG00000171522 ENSG00000175868 ENSG00000188778	
ENSG00000123545 ENSG00000178057	
ENSG00000047617 ENSG00000131620 ENSG00000167995	
ENSG00000101204 ENSG00000108556 ENSG00000135902 ENSG00000138435 ENSG00000160716 ENSG00000163032 ENSG00000170175 ENSG00000196811	
ENSG00000102468 ENSG00000120907 ENSG00000133019 ENSG00000170214 ENSG00000171873 ENSG00000196639	
ENSG00000183695 ENSG00000241563	
ENSG00000120088 ENSG00000145708 ENSG00000163794 ENSG00000178473	
ENSG00000104267 ENSG00000114923 ENSG00000167434	
ENSG00000069535 ENSG00000093010 ENSG00000123454 ENSG00000130066 ENSG00000131203 ENSG00000132437 ENSG00000139287 ENSG00000189221	
ENSG00000160752 ENSG00000167508	
ENSG00000136531 ENSG00000153253 ENSG00000169432 ENSG00000183873 ENSG00000185313 ENSG00000196876	
ENSG00000006071 ENSG00000187486	
ENSG00000117407 ENSG00000146013	
ENSG00000073756 ENSG00000095303	
ENSG00000136928 ENSG00000204681	
ENSG00000086475 ENSG00000132330	
ENSG00000036473 ENSG00000065154	
ENSG00000162438 ENSG00000164266	
ENSG00000099822 ENSG00000164588	
ENSG00000103546 ENSG00000108576	
ENSG00000080819 ENSG00000143224	
ENSG00000111424 ENSG00000140009	
ENSG00000105650 ENSG00000113448 ENSG00000184588	
ENSG00000104327 ENSG00000127412	
ENSG00000087085 ENSG00000161217	
