ENSG00000008018	ENSG00000010704	ENSG00000013275	ENSG00000027697	ENSG00000035862	ENSG00000041357	ENSG00000048462	ENSG00000049249	ENSG00000054983	ENSG00000057252	ENSG00000067182	ENSG00000081237	ENSG00000081985	ENSG00000087191	ENSG00000091513	ENSG00000095752	ENSG00000099341	ENSG00000099985	ENSG00000100368	ENSG00000100385	ENSG00000100519	ENSG00000100567	ENSG00000100764	ENSG00000100804	ENSG00000100902	ENSG00000101017	ENSG00000101182	ENSG00000102245	ENSG00000102265	ENSG00000102524	ENSG00000102962	ENSG00000102970	ENSG00000103035	ENSG00000103522	ENSG00000103546	ENSG00000104432	ENSG00000105397	ENSG00000106588	ENSG00000108342	ENSG00000108344	ENSG00000108671	ENSG00000109471	ENSG00000110944	ENSG00000111319	ENSG00000111537	ENSG00000111674	ENSG00000113302	ENSG00000113520	ENSG00000113525	ENSG00000113580	ENSG00000114013	ENSG00000115232	ENSG00000115233	ENSG00000115956	ENSG00000118113	ENSG00000118432	ENSG00000118503	ENSG00000118785	ENSG00000119535	ENSG00000120217	ENSG00000120337	ENSG00000120949	ENSG00000121594	ENSG00000121807	ENSG00000122133	ENSG00000122882	ENSG00000125538	ENSG00000125657	ENSG00000125735	ENSG00000126067	ENSG00000126353	ENSG00000127318	ENSG00000128271	ENSG00000128342	ENSG00000129084	ENSG00000130706	ENSG00000131323	ENSG00000134352	ENSG00000134460	ENSG00000134954	ENSG00000136244	ENSG00000136634	ENSG00000136930	ENSG00000137077	ENSG00000137673	ENSG00000137745	ENSG00000138378	ENSG00000138684	ENSG00000139626	ENSG00000140396	ENSG00000142166	ENSG00000142319	ENSG00000142507	ENSG00000142867	ENSG00000143106	ENSG00000145839	ENSG00000147168	ENSG00000149295	ENSG00000150093	ENSG00000154611	ENSG00000156234	ENSG00000156738	ENSG00000159110	ENSG00000159128	ENSG00000159352	ENSG00000159377	ENSG00000159958	ENSG00000160683	ENSG00000160712	ENSG00000161057	ENSG00000161610	ENSG00000161955	ENSG00000162594	ENSG00000162692	ENSG00000162924	ENSG00000163485	ENSG00000163599	ENSG00000163636	ENSG00000164171	ENSG00000164307	ENSG00000164399	ENSG00000164400	ENSG00000164485	ENSG00000165916	ENSG00000166311	ENSG00000167815	ENSG00000168610	ENSG00000168685	ENSG00000168811	ENSG00000169194	ENSG00000169241	ENSG00000169344	ENSG00000169403	ENSG00000170890	ENSG00000171368	ENSG00000171855	ENSG00000172175	ENSG00000172270	ENSG00000172724	ENSG00000173692	ENSG00000173992	ENSG00000175166	ENSG00000178562	ENSG00000178573	ENSG00000183813	ENSG00000185436	ENSG00000185627	ENSG00000186891	ENSG00000187764	ENSG00000188379	ENSG00000189056	ENSG00000196126	ENSG00000196611	ENSG00000196689	ENSG00000196839	ENSG00000197110	ENSG00000197170	ENSG00000198286	ENSG00000198502	ENSG00000204257	ENSG00000204264	ENSG00000204287	ENSG00000205220	ENSG00000213949	ENSG00000226979	ENSG00000227507	ENSG00000240065	ENSG00000242574	ENSG00000242689	ENSG00000243509	ENSG00000275152	ENSG00000277632	ENSG00000277791
ENSG00000007314	ENSG00000129159	ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000168356	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000040608	ENSG00000088827	ENSG00000105695	ENSG00000108797	ENSG00000115310	ENSG00000116147	ENSG00000126861	ENSG00000163531	ENSG00000169783
ENSG00000067191	ENSG00000139211	ENSG00000141837	ENSG00000148408	ENSG00000151067	ENSG00000164949	ENSG00000165995	ENSG00000167535	ENSG00000182389
ENSG00000104972	ENSG00000131042	ENSG00000134539	ENSG00000134545	ENSG00000189013	ENSG00000204592	ENSG00000204632	ENSG00000205809
ENSG00000026559	ENSG00000158445	ENSG00000170745	ENSG00000171126	ENSG00000178342
ENSG00000053918	ENSG00000075043	ENSG00000117013	ENSG00000170615	ENSG00000184156
ENSG00000100346	ENSG00000102057	ENSG00000171385	ENSG00000182132	ENSG00000184408
ENSG00000116032	ENSG00000176884	ENSG00000183454	ENSG00000198785	ENSG00000273079
ENSG00000013725	ENSG00000110448	ENSG00000137101	ENSG00000170017
ENSG00000019991	ENSG00000122861	ENSG00000148346	ENSG00000197081
ENSG00000068078	ENSG00000102174	ENSG00000102678	ENSG00000118972
ENSG00000082556	ENSG00000112038	ENSG00000116329	ENSG00000185231
ENSG00000130037	ENSG00000134853	ENSG00000177301	ENSG00000182255
ENSG00000006128	ENSG00000166863	ENSG00000169836
ENSG00000048392	ENSG00000167325	ENSG00000171848
ENSG00000054523	ENSG00000136928	ENSG00000204681
ENSG00000073756	ENSG00000079999	ENSG00000198727
ENSG00000089041	ENSG00000110218	ENSG00000135124
ENSG00000090104	ENSG00000180739	ENSG00000184160
ENSG00000109472	ENSG00000138792	ENSG00000187094
ENSG00000111424	ENSG00000138109	ENSG00000197408
ENSG00000120088	ENSG00000145040	ENSG00000147571
ENSG00000123146	ENSG00000196352	ENSG00000203710
ENSG00000125910	ENSG00000213694	ENSG00000267534
ENSG00000140943	ENSG00000176697	ENSG00000185652
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000005381	ENSG00000047457
ENSG00000006210	ENSG00000168329
ENSG00000051523	ENSG00000165168
ENSG00000077097	ENSG00000131747
ENSG00000082175	ENSG00000119138
ENSG00000087085	ENSG00000114200
ENSG00000088832	ENSG00000228716
ENSG00000093010	ENSG00000159640
ENSG00000099139	ENSG00000143839
ENSG00000100030	ENSG00000102882
ENSG00000101200	ENSG00000126895
ENSG00000101868	ENSG00000177084
ENSG00000102468	ENSG00000164082
ENSG00000102854	ENSG00000181143
ENSG00000106018	ENSG00000146469
ENSG00000106538	ENSG00000174600
ENSG00000107562	ENSG00000144476
ENSG00000108684	ENSG00000110881
ENSG00000110799	ENSG00000160323
ENSG00000112486	ENSG00000115009
ENSG00000112715	ENSG00000173511
ENSG00000113249	ENSG00000196189
ENSG00000115604	ENSG00000150782
ENSG00000118137	ENSG00000130203
ENSG00000120251	ENSG00000155511
ENSG00000125726	ENSG00000139193
ENSG00000126759	ENSG00000243649
ENSG00000128191	ENSG00000159899
ENSG00000130202	ENSG00000150637
ENSG00000130529	ENSG00000166828
ENSG00000132429	ENSG00000163568
ENSG00000135077	ENSG00000168961
ENSG00000135828	ENSG00000140575
ENSG00000140015	ENSG00000143473
ENSG00000149403	ENSG00000164418
ENSG00000161405	ENSG00000185811
ENSG00000163739	ENSG00000213088
ENSG00000171051	ENSG00000173432
ENSG00000179344	ENSG00000237541
ENSG00000198670	ENSG00000262406
ENSG00000223865	ENSG00000231389
