ENSG00000010278	ENSG00000017427	ENSG00000035862	ENSG00000077092	ENSG00000082175	ENSG00000091831	ENSG00000092969	ENSG00000099953	ENSG00000102265	ENSG00000104918	ENSG00000110651	ENSG00000111424	ENSG00000112033	ENSG00000113070	ENSG00000113580	ENSG00000117984	ENSG00000118113	ENSG00000118785	ENSG00000131759	ENSG00000137673	ENSG00000146674	ENSG00000149968	ENSG00000169083	ENSG00000172819	ENSG00000184895	ENSG00000196549	ENSG00000196611	ENSG00000254647
ENSG00000007171	ENSG00000021355	ENSG00000028137	ENSG00000036473	ENSG00000083857	ENSG00000091106	ENSG00000091592	ENSG00000106100	ENSG00000115008	ENSG00000125538	ENSG00000136689	ENSG00000137496	ENSG00000137752	ENSG00000137757	ENSG00000150782	ENSG00000162711	ENSG00000196415	ENSG00000226979	ENSG00000227507	ENSG00000232810
ENSG00000129988	ENSG00000136869	ENSG00000137462	ENSG00000163220	ENSG00000170458	ENSG00000174125	ENSG00000174130	ENSG00000184216
ENSG00000136531	ENSG00000136546	ENSG00000144285	ENSG00000153253	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000101846	ENSG00000117594	ENSG00000130948	ENSG00000148795	ENSG00000160882	ENSG00000203857
ENSG00000007908	ENSG00000010610	ENSG00000188404	ENSG00000197635
ENSG00000084110	ENSG00000140287	ENSG00000150540
ENSG00000103740	ENSG00000175535	ENSG00000177666
ENSG00000105650	ENSG00000113448	ENSG00000184588
ENSG00000113520	ENSG00000164136	ENSG00000164400
ENSG00000012779	ENSG00000103187
ENSG00000049540	ENSG00000113083
ENSG00000087245	ENSG00000100985
ENSG00000090659	ENSG00000130592
ENSG00000101017	ENSG00000156738
ENSG00000103313	ENSG00000140368
ENSG00000103855	ENSG00000117525
ENSG00000111450	ENSG00000132639
ENSG00000112115	ENSG00000177663
ENSG00000120088	ENSG00000145708
ENSG00000128271	ENSG00000147571
ENSG00000136244	ENSG00000170142
ENSG00000158517	ENSG00000165168
ENSG00000162736	ENSG00000205155
