ENSG00000010610	ENSG00000016402	ENSG00000044524	ENSG00000078098	ENSG00000081237	ENSG00000096968	ENSG00000102962	ENSG00000107562	ENSG00000111536	ENSG00000112164	ENSG00000112592	ENSG00000113580	ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000126456	ENSG00000127318	ENSG00000127666	ENSG00000138378	ENSG00000138755	ENSG00000142224	ENSG00000145777	ENSG00000160683	ENSG00000162434	ENSG00000162692	ENSG00000162892	ENSG00000163599	ENSG00000164485	ENSG00000169194	ENSG00000169245	ENSG00000169248	ENSG00000169429	ENSG00000171855	ENSG00000174564	ENSG00000178562	ENSG00000179344	ENSG00000179934	ENSG00000182393	ENSG00000183709	ENSG00000183813	ENSG00000185436	ENSG00000186810	ENSG00000188389	ENSG00000196396	ENSG00000197110	ENSG00000197635	ENSG00000205755	ENSG00000223865	ENSG00000271503	ENSG00000275302	ENSG00000277632
ENSG00000042832	ENSG00000088832	ENSG00000099991	ENSG00000100453	ENSG00000115602	ENSG00000128683	ENSG00000137033	ENSG00000138814	ENSG00000165806	ENSG00000170542	ENSG00000249437
ENSG00000078401	ENSG00000124205	ENSG00000136160	ENSG00000149782	ENSG00000151617	ENSG00000156052	ENSG00000164251
ENSG00000100292	ENSG00000111537	ENSG00000146072	ENSG00000204264	ENSG00000232810	ENSG00000240065
ENSG00000122585	ENSG00000128285	ENSG00000140564	ENSG00000161955	ENSG00000183395
ENSG00000091592	ENSG00000125538	ENSG00000189403	ENSG00000226979
ENSG00000005381	ENSG00000047457	ENSG00000165240
ENSG00000049130	ENSG00000105472	ENSG00000164400
ENSG00000049768	ENSG00000123411	ENSG00000185811
ENSG00000101440	ENSG00000115138	ENSG00000258839
ENSG00000109471	ENSG00000134460	ENSG00000197919
ENSG00000120088	ENSG00000145040	ENSG00000147571
ENSG00000134539	ENSG00000204592	ENSG00000204632
ENSG00000165471	ENSG00000224389	ENSG00000244731
ENSG00000001084	ENSG00000023909
ENSG00000077498	ENSG00000107165
ENSG00000093010	ENSG00000159640
ENSG00000096717	ENSG00000100823
ENSG00000106366	ENSG00000180210
ENSG00000111424	ENSG00000138109
ENSG00000112115	ENSG00000177663
ENSG00000117091	ENSG00000122223
ENSG00000119408	ENSG00000204580
ENSG00000120659	ENSG00000141655
ENSG00000135077	ENSG00000168961
ENSG00000138685	ENSG00000166037
ENSG00000145901	ENSG00000160307
