ENSG00000010610	ENSG00000019582	ENSG00000026025	ENSG00000026508	ENSG00000030304	ENSG00000042832	ENSG00000049768	ENSG00000087085	ENSG00000090020	ENSG00000090339	ENSG00000091513	ENSG00000101017	ENSG00000101470	ENSG00000102245	ENSG00000104918	ENSG00000105695	ENSG00000108556	ENSG00000108691	ENSG00000108823	ENSG00000110169	ENSG00000110448	ENSG00000113580	ENSG00000114013	ENSG00000114200	ENSG00000116824	ENSG00000118785	ENSG00000121594	ENSG00000122882	ENSG00000126861	ENSG00000130164	ENSG00000130203	ENSG00000130595	ENSG00000130598	ENSG00000134569	ENSG00000135902	ENSG00000136810	ENSG00000136869	ENSG00000136943	ENSG00000137101	ENSG00000138435	ENSG00000139193	ENSG00000144381	ENSG00000149968	ENSG00000152818	ENSG00000155657	ENSG00000163131	ENSG00000163599	ENSG00000163600	ENSG00000163631	ENSG00000165917	ENSG00000166598	ENSG00000170175	ENSG00000170458	ENSG00000175084	ENSG00000175920	ENSG00000176890	ENSG00000177000	ENSG00000178562	ENSG00000179344	ENSG00000182533	ENSG00000188157	ENSG00000196126	ENSG00000196664	ENSG00000196811	ENSG00000197971	ENSG00000198947	ENSG00000228716	ENSG00000239732	ENSG00000257017
ENSG00000100368	ENSG00000104432	ENSG00000109471	ENSG00000111537	ENSG00000113520	ENSG00000125538	ENSG00000127318	ENSG00000136244	ENSG00000136634	ENSG00000137033	ENSG00000137496	ENSG00000137752	ENSG00000138378	ENSG00000138684	ENSG00000145777	ENSG00000145839	ENSG00000150782	ENSG00000164136	ENSG00000164400	ENSG00000171855	ENSG00000172179	ENSG00000198223	ENSG00000242689	ENSG00000259384
ENSG00000106348	ENSG00000116748	ENSG00000137364	ENSG00000178035
ENSG00000003402	ENSG00000117560	ENSG00000121858
ENSG00000088832	ENSG00000138741	ENSG00000196218
ENSG00000012124	ENSG00000177455
ENSG00000074800	ENSG00000108515
ENSG00000085063	ENSG00000106804
ENSG00000100453	ENSG00000136448
ENSG00000102524	ENSG00000159958
ENSG00000102967	ENSG00000128059
ENSG00000110680	ENSG00000169252
ENSG00000112115	ENSG00000112116
ENSG00000118503	ENSG00000145901
ENSG00000121807	ENSG00000186810
ENSG00000128683	ENSG00000136750
ENSG00000133216	ENSG00000135341
ENSG00000151552	ENSG00000166228
