ENSG00000077238	ENSG00000100292	ENSG00000102962	ENSG00000111537	ENSG00000113520	ENSG00000118503	ENSG00000125538	ENSG00000126353	ENSG00000132693	ENSG00000136244	ENSG00000136634	ENSG00000146072	ENSG00000157873	ENSG00000162692	ENSG00000164104	ENSG00000167004	ENSG00000169194	ENSG00000169344	ENSG00000169429	ENSG00000174697	ENSG00000175899	ENSG00000179218	ENSG00000186265	ENSG00000189403	ENSG00000226979	ENSG00000231925	ENSG00000232810
ENSG00000010610	ENSG00000081237	ENSG00000107562	ENSG00000108691	ENSG00000112486	ENSG00000113580	ENSG00000114013	ENSG00000115009	ENSG00000116824	ENSG00000120217	ENSG00000121594	ENSG00000122882	ENSG00000138755	ENSG00000160683	ENSG00000163599	ENSG00000169245	ENSG00000172156	ENSG00000178562	ENSG00000179344	ENSG00000183625	ENSG00000186810	ENSG00000196839	ENSG00000197646	ENSG00000271503
ENSG00000005381	ENSG00000012223	ENSG00000047457	ENSG00000150337	ENSG00000170458
ENSG00000007171	ENSG00000088832	ENSG00000105329
ENSG00000049540	ENSG00000150782	ENSG00000196415
ENSG00000088926	ENSG00000106366	ENSG00000180210
ENSG00000006327	ENSG00000215788
ENSG00000010704	ENSG00000091513
ENSG00000019582	ENSG00000240972
ENSG00000049768	ENSG00000143365
ENSG00000078401	ENSG00000151617
ENSG00000081985	ENSG00000138378
ENSG00000100453	ENSG00000138385
ENSG00000103522	ENSG00000138684
ENSG00000104267	ENSG00000144381
ENSG00000109472	ENSG00000254647
ENSG00000111057	ENSG00000170421
ENSG00000112115	ENSG00000163701
ENSG00000120659	ENSG00000164761
ENSG00000127948	ENSG00000138109
ENSG00000135077	ENSG00000168961
ENSG00000160868	ENSG00000171234
ENSG00000174175	ENSG00000272398
ENSG00000204520	ENSG00000213809
