ENSG00000004948	ENSG00000007171	ENSG00000007314	ENSG00000010610	ENSG00000012223	ENSG00000019991	ENSG00000028137	ENSG00000047457	ENSG00000056291	ENSG00000067191	ENSG00000078401	ENSG00000079841	ENSG00000081041	ENSG00000082556	ENSG00000086991	ENSG00000087085	ENSG00000087245	ENSG00000087250	ENSG00000089041	ENSG00000089250	ENSG00000090776	ENSG00000100151	ENSG00000100292	ENSG00000100380	ENSG00000100985	ENSG00000101200	ENSG00000101405	ENSG00000102265	ENSG00000103546	ENSG00000104321	ENSG00000104368	ENSG00000105329	ENSG00000105464	ENSG00000105894	ENSG00000106683	ENSG00000107562	ENSG00000108342	ENSG00000108576	ENSG00000108688	ENSG00000108691	ENSG00000108700	ENSG00000108702	ENSG00000110218	ENSG00000110680	ENSG00000111537	ENSG00000112038	ENSG00000112062	ENSG00000113532	ENSG00000113580	ENSG00000114200	ENSG00000115008	ENSG00000115138	ENSG00000115594	ENSG00000115884	ENSG00000116032	ENSG00000116329	ENSG00000118271	ENSG00000118432	ENSG00000119535	ENSG00000120129	ENSG00000120251	ENSG00000121807	ENSG00000121966	ENSG00000122585	ENSG00000124875	ENSG00000125266	ENSG00000125510	ENSG00000125538	ENSG00000126010	ENSG00000128165	ENSG00000128271	ENSG00000129988	ENSG00000130561	ENSG00000131096	ENSG00000131981	ENSG00000132535	ENSG00000132639	ENSG00000133019	ENSG00000133216	ENSG00000133661	ENSG00000134243	ENSG00000134259	ENSG00000135124	ENSG00000135312	ENSG00000136160	ENSG00000136531	ENSG00000136689	ENSG00000136869	ENSG00000137462	ENSG00000138279	ENSG00000138755	ENSG00000139574	ENSG00000140009	ENSG00000140943	ENSG00000141837	ENSG00000142185	ENSG00000144285	ENSG00000144481	ENSG00000148053	ENSG00000148346	ENSG00000148408	ENSG00000148926	ENSG00000149294	ENSG00000149295	ENSG00000149968	ENSG00000151067	ENSG00000151150	ENSG00000152661	ENSG00000152822	ENSG00000153253	ENSG00000154277	ENSG00000154589	ENSG00000155511	ENSG00000156113	ENSG00000156234	ENSG00000157227	ENSG00000157388	ENSG00000160145	ENSG00000160683	ENSG00000160791	ENSG00000161610	ENSG00000163464	ENSG00000163485	ENSG00000163735	ENSG00000163739	ENSG00000163823	ENSG00000164251	ENSG00000164270	ENSG00000164342	ENSG00000164400	ENSG00000165168	ENSG00000165995	ENSG00000166603	ENSG00000167535	ENSG00000167723	ENSG00000168081	ENSG00000168356	ENSG00000169241	ENSG00000169245	ENSG00000169252	ENSG00000169344	ENSG00000169429	ENSG00000169432	ENSG00000169860	ENSG00000170458	ENSG00000170890	ENSG00000171189	ENSG00000172156	ENSG00000176697	ENSG00000176884	ENSG00000179934	ENSG00000180871	ENSG00000180914	ENSG00000181072	ENSG00000181195	ENSG00000182389	ENSG00000182718	ENSG00000183454	ENSG00000183873	ENSG00000184371	ENSG00000185149	ENSG00000185313	ENSG00000185386	ENSG00000185652	ENSG00000186318	ENSG00000186810	ENSG00000187554	ENSG00000187688	ENSG00000189403	ENSG00000196277	ENSG00000196352	ENSG00000196549	ENSG00000196557	ENSG00000196664	ENSG00000196689	ENSG00000196839	ENSG00000196876	ENSG00000198055	ENSG00000198216	ENSG00000198400	ENSG00000198785	ENSG00000213903	ENSG00000225950	ENSG00000232810	ENSG00000240583	ENSG00000258839	ENSG00000271503	ENSG00000273079	ENSG00000274736	ENSG00000277363	ENSG00000277632
ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000128311	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000021355	ENSG00000137033	ENSG00000137496	ENSG00000150782	ENSG00000196415
ENSG00000006128	ENSG00000075073	ENSG00000115353	ENSG00000176358
ENSG00000022355	ENSG00000069696	ENSG00000100280	ENSG00000102003
ENSG00000121853	ENSG00000132693	ENSG00000136244	ENSG00000174697
ENSG00000151892	ENSG00000168546	ENSG00000168621	ENSG00000171119
ENSG00000070031	ENSG00000106018	ENSG00000146469
ENSG00000096717	ENSG00000105662	ENSG00000148516
ENSG00000106113	ENSG00000120088	ENSG00000147571
ENSG00000108405	ENSG00000109991	ENSG00000187848
ENSG00000108684	ENSG00000110881	ENSG00000213199
ENSG00000110148	ENSG00000163394	ENSG00000187094
ENSG00000006210	ENSG00000168329
ENSG00000011600	ENSG00000095970
ENSG00000061918	ENSG00000164116
ENSG00000065320	ENSG00000067141
ENSG00000069482	ENSG00000166573
ENSG00000093010	ENSG00000159640
ENSG00000101204	ENSG00000160716
ENSG00000102468	ENSG00000164082
ENSG00000106105	ENSG00000196305
ENSG00000106538	ENSG00000174600
ENSG00000111199	ENSG00000171885
ENSG00000117152	ENSG00000169403
ENSG00000118217	ENSG00000160613
ENSG00000118526	ENSG00000140262
ENSG00000120217	ENSG00000121594
ENSG00000120337	ENSG00000186891
ENSG00000128604	ENSG00000136634
ENSG00000128683	ENSG00000136750
ENSG00000137845	ENSG00000198719
ENSG00000142538	ENSG00000144407
ENSG00000143546	ENSG00000163220
ENSG00000152402	ENSG00000161509
ENSG00000153558	ENSG00000162711
ENSG00000162374	ENSG00000172020
ENSG00000163421	ENSG00000169618
