ENSG00000078401	ENSG00000082556	ENSG00000104321	ENSG00000112038	ENSG00000115138	ENSG00000116329	ENSG00000118432	ENSG00000125538	ENSG00000128271	ENSG00000133019	ENSG00000135312	ENSG00000136160	ENSG00000144481	ENSG00000149295	ENSG00000152822	ENSG00000156113	ENSG00000161610	ENSG00000163485	ENSG00000164270	ENSG00000167723	ENSG00000169241	ENSG00000169252	ENSG00000169344	ENSG00000169860	ENSG00000181072	ENSG00000187688	ENSG00000189403	ENSG00000196557	ENSG00000196689	ENSG00000198055	ENSG00000213903
ENSG00000023228	ENSG00000110717	ENSG00000115286	ENSG00000128311	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198888	ENSG00000213619
ENSG00000007314	ENSG00000136531	ENSG00000144285	ENSG00000151150	ENSG00000153253	ENSG00000168356	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000067191	ENSG00000087085	ENSG00000114200	ENSG00000132639	ENSG00000141837	ENSG00000148408	ENSG00000151067	ENSG00000165995	ENSG00000167535	ENSG00000182389
ENSG00000105464	ENSG00000116032	ENSG00000176884	ENSG00000183454	ENSG00000198785	ENSG00000273079
ENSG00000021355	ENSG00000137033	ENSG00000137496	ENSG00000150782	ENSG00000196415
ENSG00000056291	ENSG00000122585	ENSG00000131096	ENSG00000139574	ENSG00000185149
ENSG00000087250	ENSG00000100292	ENSG00000111537	ENSG00000184371	ENSG00000232810
ENSG00000100151	ENSG00000103546	ENSG00000120251	ENSG00000155511	ENSG00000196277
ENSG00000108688	ENSG00000108691	ENSG00000113580	ENSG00000121807	ENSG00000185386
ENSG00000156234	ENSG00000160683	ENSG00000186810	ENSG00000271503	ENSG00000277632
ENSG00000151892	ENSG00000168546	ENSG00000168621	ENSG00000171119
ENSG00000019991	ENSG00000087245	ENSG00000148346
ENSG00000075073	ENSG00000115353	ENSG00000176358
ENSG00000089041	ENSG00000110218	ENSG00000135124
ENSG00000101200	ENSG00000101405	ENSG00000180914
ENSG00000106113	ENSG00000120088	ENSG00000147571
ENSG00000108405	ENSG00000109991	ENSG00000187848
ENSG00000110148	ENSG00000163394	ENSG00000187094
ENSG00000140943	ENSG00000176697	ENSG00000185652
ENSG00000006210	ENSG00000168329
ENSG00000011600	ENSG00000095970
ENSG00000022355	ENSG00000069696
ENSG00000061918	ENSG00000164116
ENSG00000093010	ENSG00000159640
ENSG00000101204	ENSG00000160716
ENSG00000102468	ENSG00000164082
ENSG00000106018	ENSG00000146469
ENSG00000106538	ENSG00000174600
ENSG00000108684	ENSG00000213199
ENSG00000108702	ENSG00000179934
ENSG00000117152	ENSG00000169403
ENSG00000120217	ENSG00000121594
ENSG00000120337	ENSG00000186891
ENSG00000125510	ENSG00000168081
ENSG00000126010	ENSG00000170890
ENSG00000128683	ENSG00000136750
ENSG00000142185	ENSG00000198216
ENSG00000142538	ENSG00000144407
ENSG00000153558	ENSG00000162711
ENSG00000163421	ENSG00000169618
ENSG00000163464	ENSG00000180871
