ENSG00000006116	ENSG00000006283	ENSG00000007402	ENSG00000067191	ENSG00000075429	ENSG00000075461	ENSG00000081248	ENSG00000100346	ENSG00000102001	ENSG00000105464	ENSG00000105605	ENSG00000108878	ENSG00000116032	ENSG00000120251	ENSG00000130433	ENSG00000141837	ENSG00000142408	ENSG00000148408	ENSG00000151062	ENSG00000151067	ENSG00000152578	ENSG00000153956	ENSG00000155511	ENSG00000157388	ENSG00000157445	ENSG00000161509	ENSG00000165995	ENSG00000166862	ENSG00000167535	ENSG00000176884	ENSG00000182389	ENSG00000183454	ENSG00000196557	ENSG00000198216	ENSG00000198785
ENSG00000022355	ENSG00000109158	ENSG00000113327	ENSG00000145863	ENSG00000145864	ENSG00000151834	ENSG00000163288	ENSG00000166206	ENSG00000182256	ENSG00000186297
ENSG00000136531	ENSG00000144285	ENSG00000153253	ENSG00000169432	ENSG00000183873	ENSG00000185313	ENSG00000196876
ENSG00000082556	ENSG00000112038	ENSG00000116329	ENSG00000198055
ENSG00000117407	ENSG00000146013	ENSG00000171119
ENSG00000069535	ENSG00000189221
ENSG00000073756	ENSG00000095303
ENSG00000091972	ENSG00000163606
ENSG00000099822	ENSG00000164588
ENSG00000101204	ENSG00000160716
ENSG00000103546	ENSG00000108576
ENSG00000105675	ENSG00000186009
ENSG00000110218	ENSG00000162711
ENSG00000123545	ENSG00000178057
ENSG00000131620	ENSG00000167995
ENSG00000132639	ENSG00000165646
ENSG00000159640	ENSG00000180772
