ENSG00000003436	ENSG00000007908	ENSG00000010610	ENSG00000011485	ENSG00000017427	ENSG00000019582	ENSG00000026508	ENSG00000049130	ENSG00000049768	ENSG00000077238	ENSG00000081026	ENSG00000092009	ENSG00000096968	ENSG00000102265	ENSG00000102575	ENSG00000105835	ENSG00000107562	ENSG00000108691	ENSG00000110448	ENSG00000110944	ENSG00000113302	ENSG00000113580	ENSG00000114013	ENSG00000118113	ENSG00000118785	ENSG00000120217	ENSG00000121594	ENSG00000122882	ENSG00000125538	ENSG00000134215	ENSG00000134242	ENSG00000134259	ENSG00000137033	ENSG00000137673	ENSG00000137745	ENSG00000138378	ENSG00000138755	ENSG00000140443	ENSG00000144476	ENSG00000149948	ENSG00000156234	ENSG00000160654	ENSG00000160683	ENSG00000162594	ENSG00000163599	ENSG00000163737	ENSG00000163823	ENSG00000164400	ENSG00000166949	ENSG00000169245	ENSG00000169248	ENSG00000169252	ENSG00000169429	ENSG00000172349	ENSG00000178562	ENSG00000178726	ENSG00000179344	ENSG00000181374	ENSG00000186810	ENSG00000188389	ENSG00000189403	ENSG00000196611	ENSG00000196839	ENSG00000197249	ENSG00000197635	ENSG00000198821	ENSG00000198851	ENSG00000237541	ENSG00000240972	ENSG00000254647	ENSG00000277632
ENSG00000042832	ENSG00000104267	ENSG00000144381	ENSG00000174123	ENSG00000174125	ENSG00000228716
ENSG00000102970	ENSG00000113520	ENSG00000162692	ENSG00000169194	ENSG00000179934
ENSG00000105641	ENSG00000134200	ENSG00000136068	ENSG00000138039	ENSG00000165409
ENSG00000139874	ENSG00000143199	ENSG00000157005	ENSG00000162009	ENSG00000180616
ENSG00000073754	ENSG00000101017	ENSG00000102245	ENSG00000156738
ENSG00000005844	ENSG00000090339	ENSG00000197471
ENSG00000028137	ENSG00000226979	ENSG00000227507
ENSG00000048462	ENSG00000102524	ENSG00000159958
ENSG00000073756	ENSG00000079999	ENSG00000198727
ENSG00000078401	ENSG00000148926	ENSG00000151617
ENSG00000104972	ENSG00000134545	ENSG00000204632
ENSG00000115604	ENSG00000115607	ENSG00000150782
ENSG00000121853	ENSG00000157017	ENSG00000174697
ENSG00000139174	ENSG00000140807	ENSG00000146469
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000012223	ENSG00000090382
ENSG00000019991	ENSG00000148346
ENSG00000073008	ENSG00000150637
ENSG00000085063	ENSG00000113600
ENSG00000087250	ENSG00000100292
ENSG00000089041	ENSG00000164047
ENSG00000089280	ENSG00000113360
ENSG00000091879	ENSG00000154188
ENSG00000101439	ENSG00000244731
ENSG00000102174	ENSG00000118972
ENSG00000103522	ENSG00000138684
ENSG00000106952	ENSG00000120949
ENSG00000109471	ENSG00000134460
ENSG00000110799	ENSG00000160323
ENSG00000112115	ENSG00000177663
ENSG00000112715	ENSG00000118523
ENSG00000120337	ENSG00000186891
ENSG00000120659	ENSG00000164761
ENSG00000126351	ENSG00000151090
ENSG00000126353	ENSG00000137077
ENSG00000126759	ENSG00000243649
ENSG00000128683	ENSG00000136750
ENSG00000132386	ENSG00000177666
ENSG00000135077	ENSG00000168961
ENSG00000136244	ENSG00000160712
ENSG00000136816	ENSG00000136827
ENSG00000143546	ENSG00000163220
ENSG00000160185	ENSG00000169385
ENSG00000160223	ENSG00000163600
ENSG00000163131	ENSG00000242252
ENSG00000165731	ENSG00000196923
ENSG00000168394	ENSG00000204267
ENSG00000168542	ENSG00000204580
ENSG00000173402	ENSG00000174343
ENSG00000174175	ENSG00000272398
ENSG00000182393	ENSG00000197110
