ENSG00000010610	ENSG00000114013	ENSG00000120217	ENSG00000121594	ENSG00000134242	ENSG00000163599	ENSG00000178562	ENSG00000179344	ENSG00000188389	ENSG00000198821	ENSG00000198851	ENSG00000237541
ENSG00000007908	ENSG00000019582	ENSG00000026508	ENSG00000137673	ENSG00000196611	ENSG00000240972
ENSG00000017427	ENSG00000081026	ENSG00000105835	ENSG00000140443	ENSG00000169252
ENSG00000110944	ENSG00000113302	ENSG00000138378	ENSG00000162594
ENSG00000143199	ENSG00000157005	ENSG00000162009	ENSG00000180616
ENSG00000048462	ENSG00000102524	ENSG00000159958
ENSG00000049130	ENSG00000092009	ENSG00000164400
ENSG00000073756	ENSG00000079999	ENSG00000198727
ENSG00000105641	ENSG00000134200	ENSG00000165409
ENSG00000113580	ENSG00000122882	ENSG00000196839
ENSG00000115604	ENSG00000115607	ENSG00000150782
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000042832	ENSG00000228716
ENSG00000073754	ENSG00000102245
ENSG00000085063	ENSG00000113600
ENSG00000089280	ENSG00000113360
ENSG00000101439	ENSG00000244731
ENSG00000102970	ENSG00000179934
ENSG00000103522	ENSG00000138684
ENSG00000106952	ENSG00000120949
ENSG00000109471	ENSG00000134460
ENSG00000112115	ENSG00000177663
ENSG00000120337	ENSG00000186891
ENSG00000126759	ENSG00000243649
ENSG00000136244	ENSG00000160712
ENSG00000136816	ENSG00000136827
ENSG00000139174	ENSG00000146469
ENSG00000143546	ENSG00000163220
ENSG00000156234	ENSG00000160683
ENSG00000160223	ENSG00000163600
ENSG00000168394	ENSG00000204267
ENSG00000174123	ENSG00000174125
ENSG00000226979	ENSG00000227507
