ENSG00000005381	ENSG00000007908	ENSG00000010610	ENSG00000019582	ENSG00000026508	ENSG00000043591	ENSG00000049249	ENSG00000073756	ENSG00000073861	ENSG00000090339	ENSG00000095303	ENSG00000096968	ENSG00000110448	ENSG00000113302	ENSG00000115604	ENSG00000115607	ENSG00000115705	ENSG00000120217	ENSG00000120337	ENSG00000134200	ENSG00000134460	ENSG00000136630	ENSG00000136634	ENSG00000138378	ENSG00000138684	ENSG00000139193	ENSG00000150782	ENSG00000160223	ENSG00000160712	ENSG00000162594	ENSG00000163599	ENSG00000163600	ENSG00000165409	ENSG00000169252	ENSG00000171522	ENSG00000172349	ENSG00000174059	ENSG00000174175	ENSG00000178562	ENSG00000179344	ENSG00000186891	ENSG00000188389	ENSG00000188404	ENSG00000198821	ENSG00000198851	ENSG00000223865	ENSG00000237541
ENSG00000092009	ENSG00000118113	ENSG00000137673	ENSG00000138792	ENSG00000143839	ENSG00000146674	ENSG00000159640	ENSG00000196611
ENSG00000108091	ENSG00000140443	ENSG00000165731	ENSG00000196923
ENSG00000048462	ENSG00000102524	ENSG00000159958
ENSG00000104918	ENSG00000113580	ENSG00000122882
ENSG00000112115	ENSG00000112116	ENSG00000177663
ENSG00000181634	ENSG00000215788	ENSG00000243509
ENSG00000085063	ENSG00000113600
ENSG00000089280	ENSG00000147274
ENSG00000091583	ENSG00000198670
ENSG00000096395	ENSG00000122420
ENSG00000096433	ENSG00000132639
ENSG00000103044	ENSG00000105509
ENSG00000106952	ENSG00000120949
ENSG00000111728	ENSG00000115525
ENSG00000126351	ENSG00000151090
ENSG00000126759	ENSG00000243649
ENSG00000129167	ENSG00000131203
ENSG00000143546	ENSG00000163220
ENSG00000143622	ENSG00000157764
ENSG00000174125	ENSG00000174130
ENSG00000226979	ENSG00000227507
