ENSG00000003400	ENSG00000003402	ENSG00000005381	ENSG00000005421	ENSG00000007171	ENSG00000007908	ENSG00000010610	ENSG00000012504	ENSG00000017427	ENSG00000019991	ENSG00000025434	ENSG00000026508	ENSG00000028137	ENSG00000047457	ENSG00000060566	ENSG00000064012	ENSG00000073060	ENSG00000074047	ENSG00000081051	ENSG00000083857	ENSG00000084674	ENSG00000084734	ENSG00000086991	ENSG00000087237	ENSG00000092009	ENSG00000099866	ENSG00000100234	ENSG00000100292	ENSG00000100299	ENSG00000100985	ENSG00000101076	ENSG00000102265	ENSG00000105329	ENSG00000106144	ENSG00000106366	ENSG00000106633	ENSG00000107562	ENSG00000108679	ENSG00000108691	ENSG00000109321	ENSG00000109819	ENSG00000111057	ENSG00000111537	ENSG00000112033	ENSG00000112293	ENSG00000112715	ENSG00000115008	ENSG00000115009	ENSG00000115461	ENSG00000117984	ENSG00000118137	ENSG00000118217	ENSG00000118271	ENSG00000118523	ENSG00000118785	ENSG00000119630	ENSG00000120885	ENSG00000121797	ENSG00000121807	ENSG00000121858	ENSG00000123131	ENSG00000124731	ENSG00000125538	ENSG00000127666	ENSG00000128285	ENSG00000129465	ENSG00000129988	ENSG00000130164	ENSG00000130203	ENSG00000131910	ENSG00000131981	ENSG00000132170	ENSG00000132906	ENSG00000135218	ENSG00000135744	ENSG00000136869	ENSG00000137033	ENSG00000137077	ENSG00000137462	ENSG00000137745	ENSG00000137752	ENSG00000137757	ENSG00000138095	ENSG00000138207	ENSG00000138755	ENSG00000138794	ENSG00000138823	ENSG00000139083	ENSG00000143839	ENSG00000144476	ENSG00000144852	ENSG00000144891	ENSG00000145192	ENSG00000147257	ENSG00000148346	ENSG00000150782	ENSG00000154589	ENSG00000154736	ENSG00000159224	ENSG00000159640	ENSG00000159763	ENSG00000160613	ENSG00000160683	ENSG00000160791	ENSG00000161217	ENSG00000162711	ENSG00000163464	ENSG00000163586	ENSG00000163631	ENSG00000163735	ENSG00000163739	ENSG00000164305	ENSG00000164690	ENSG00000164733	ENSG00000165168	ENSG00000165806	ENSG00000166035	ENSG00000168404	ENSG00000169174	ENSG00000169245	ENSG00000169429	ENSG00000170421	ENSG00000170458	ENSG00000172156	ENSG00000172270	ENSG00000172724	ENSG00000174130	ENSG00000177575	ENSG00000180772	ENSG00000180871	ENSG00000181856	ENSG00000183395	ENSG00000183625	ENSG00000186810	ENSG00000186951	ENSG00000189403	ENSG00000196352	ENSG00000196611	ENSG00000196954	ENSG00000197635	ENSG00000198911	ENSG00000204403	ENSG00000206172	ENSG00000213398	ENSG00000229314	ENSG00000232810	ENSG00000239732	ENSG00000242252	ENSG00000244734	ENSG00000254647	ENSG00000257017	ENSG00000265972	ENSG00000275302	ENSG00000275385	ENSG00000277632
ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000125166	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000099985	ENSG00000116678	ENSG00000132693	ENSG00000132703	ENSG00000136244	ENSG00000157017	ENSG00000174697
ENSG00000110080	ENSG00000160654	ENSG00000167286	ENSG00000198851
ENSG00000127318	ENSG00000136634	ENSG00000197110	ENSG00000243646
ENSG00000113520	ENSG00000123496	ENSG00000169194
ENSG00000118432	ENSG00000128271	ENSG00000163485
ENSG00000131187	ENSG00000198670	ENSG00000262406
ENSG00000204516	ENSG00000204520	ENSG00000213809
ENSG00000004799	ENSG00000150768
ENSG00000004948	ENSG00000121351
ENSG00000010704	ENSG00000091513
ENSG00000067082	ENSG00000136826
ENSG00000073754	ENSG00000102245
ENSG00000078401	ENSG00000151617
ENSG00000089041	ENSG00000110218
ENSG00000092098	ENSG00000179526
ENSG00000106538	ENSG00000174600
ENSG00000110911	ENSG00000198712
ENSG00000111275	ENSG00000142082
ENSG00000112115	ENSG00000177663
ENSG00000113083	ENSG00000143196
ENSG00000117139	ENSG00000155090
ENSG00000120659	ENSG00000164761
ENSG00000126953	ENSG00000136738
ENSG00000132386	ENSG00000177666
ENSG00000134184	ENSG00000213366
ENSG00000143546	ENSG00000163220
ENSG00000160868	ENSG00000171234
