ENSG00000023228	ENSG00000065518	ENSG00000110717	ENSG00000115286	ENSG00000119421	ENSG00000128609	ENSG00000131495	ENSG00000136521	ENSG00000137806	ENSG00000139180	ENSG00000140990	ENSG00000145494	ENSG00000147684	ENSG00000158864	ENSG00000160194	ENSG00000164258	ENSG00000165264	ENSG00000166136	ENSG00000167792	ENSG00000178127	ENSG00000183648	ENSG00000184752	ENSG00000184983	ENSG00000198695	ENSG00000198786	ENSG00000198886	ENSG00000198888	ENSG00000213619	ENSG00000267855
ENSG00000003400	ENSG00000064012	ENSG00000092009	ENSG00000102265	ENSG00000106144	ENSG00000112293	ENSG00000125538	ENSG00000132906	ENSG00000137033	ENSG00000137752	ENSG00000137757	ENSG00000138794	ENSG00000150782	ENSG00000161217	ENSG00000162711	ENSG00000165806	ENSG00000169429	ENSG00000170458	ENSG00000189403	ENSG00000196352	ENSG00000196611	ENSG00000196954	ENSG00000204403	ENSG00000239732	ENSG00000265972
ENSG00000012504	ENSG00000060566	ENSG00000084734	ENSG00000106633	ENSG00000109819	ENSG00000132170	ENSG00000138095	ENSG00000163586	ENSG00000186951	ENSG00000254647
ENSG00000107562	ENSG00000115009	ENSG00000138755	ENSG00000147257	ENSG00000159224	ENSG00000169245	ENSG00000186810	ENSG00000197635
ENSG00000084674	ENSG00000130164	ENSG00000130203	ENSG00000138823	ENSG00000166035	ENSG00000169174
ENSG00000099985	ENSG00000116678	ENSG00000132693	ENSG00000136244	ENSG00000174697
ENSG00000100292	ENSG00000177575	ENSG00000206172	ENSG00000244734	ENSG00000257017
ENSG00000081051	ENSG00000121807	ENSG00000160791
ENSG00000112715	ENSG00000118523	ENSG00000119630
ENSG00000113520	ENSG00000123496	ENSG00000169194
ENSG00000118432	ENSG00000128271	ENSG00000163485
ENSG00000160654	ENSG00000167286	ENSG00000198851
ENSG00000004799	ENSG00000150768
ENSG00000010704	ENSG00000091513
ENSG00000019991	ENSG00000148346
ENSG00000083857	ENSG00000128285
ENSG00000089041	ENSG00000110218
ENSG00000106538	ENSG00000174600
ENSG00000108679	ENSG00000131981
ENSG00000110911	ENSG00000198712
ENSG00000111275	ENSG00000142082
ENSG00000113083	ENSG00000143196
ENSG00000123131	ENSG00000129988
ENSG00000126953	ENSG00000136738
ENSG00000132386	ENSG00000177666
ENSG00000134184	ENSG00000213366
ENSG00000136869	ENSG00000154589
ENSG00000139083	ENSG00000160613
ENSG00000143546	ENSG00000163220
ENSG00000160868	ENSG00000171234
ENSG00000204516	ENSG00000213809
