index,protID,geneID,geneName,
0,Q13616,ENSG00000055130,CUL1,
1,Q9UNN5,ENSG00000185104,FAF1,
2,P35222,ENSG00000168036,CTNNB1,
3,O14818,ENSG00000101182,PSMA7,
4,P46527,ENSG00000111276,CDKN1B,
5,P25054,ENSG00000134982,APC,
6,Q15843,ENSG00000129559,NEDD8,
7,Q01094,ENSG00000101412,E2F1,
8,P15923,ENSG00000071564,TCF3,
9,Q969H0,ENSG00000109670,FBXW7,
10,Q86VP6,ENSG00000111530,CAND1,
11,Q5XUX0,ENSG00000103264,FBXO31,
12,Q7L5N1,ENSG00000168090,COPS6,
13,P15153,ENSG00000128340,RAC2,
14,Q6R327,ENSG00000164327,RICTOR,
15,P84022,ENSG00000166949,SMAD3,
16,P62877,ENSG00000100387,RBX1,
17,Q15653,ENSG00000104825,NFKBIB,
18,Q92905,ENSG00000121022,COPS5,
19,P30304,ENSG00000164045,CDC25A,
20,P61081,ENSG00000130725,UBE2M,
21,Q13309,ENSG00000145604,SKP2,
22,P25963,ENSG00000100906,NFKBIA,
23,Q14164,ENSG00000263528,IKBKE,
24,P24941,ENSG00000123374,CDK2,
25,O95997,ENSG00000164611,PTTG1,
26,Q9Y297,ENSG00000166167,BTRC,
27,P38936,ENSG00000124762,CDKN1A,
28,P61024,ENSG00000173207,CKS1B,
29,O14757,ENSG00000149554,CHEK1,
30,Q00987,ENSG00000135679,MDM2,
31,P24385,ENSG00000110092,CCND1,
32,P50750,ENSG00000136807,CDK9,
33,P61201,ENSG00000166200,COPS2,
34,P63208,ENSG00000113558,SKP1,
35,P01106,ENSG00000136997,MYC,
36,P49427,ENSG00000099804,CDC34,
37,Q99627,ENSG00000198612,COPS8,
38,Q9UBW8,ENSG00000111652,COPS7A,
39,Q13098,ENSG00000169727,GPS1,
40,O00221,ENSG00000146232,NFKBIE,
41,Q9UNS2,ENSG00000141030,COPS3,
42,Q9UKB1,ENSG00000072803,FBXW11,
43,Q9UBF6,ENSG00000114125,RNF7,
44,P25789,ENSG00000041357,PSMA4,
45,P60900,ENSG00000100902,PSMA6,
46,P28070,ENSG00000159377,PSMB4,
47,P25787,ENSG00000106588,PSMA2,
48,Q99575,ENSG00000104356,POP1,
49,Q969P5,ENSG00000156804,FBXO32,
50,Q04323,ENSG00000162191,UBXN1,
51,Q9BT78,ENSG00000138663,COPS4,
52,Q9UF56,ENSG00000145743,FBXL17,
53,Q9UKT8,ENSG00000119402,FBXW2,
54,Q9NRD1,ENSG00000116663,FBXO6,
55,Q9UKA1,ENSG00000118564,FBXL5,
56,P07947,ENSG00000176105,YES1,
57,O60500,ENSG00000161270,NPHS1,
58,Q9NP85,ENSG00000116218,NPHS2,
59,Q9Y210,ENSG00000137672,TRPC6,
60,P17252,ENSG00000154229,PRKCA,
61,Q9Y5K6,ENSG00000198087,CD2AP,
62,P07948,ENSG00000254087,LYN,
63,P12931,ENSG00000197122,SRC,
64,P06241,ENSG00000010810,FYN,
65,P16333,ENSG00000158092,NCK1,
66,O14936,ENSG00000147044,CASK,
67,P27824,ENSG00000127022,CANX,
68,Q96J84,ENSG00000183853,KIRREL1,
