index,protID,geneID,geneName
0,9606.ENSP00000003084,ENSG00000001626,CFTR
1,9606.ENSP00000003100,ENSG00000001630,CYP51A1
2,9606.ENSP00000003302,ENSG00000048028,USP28
3,9606.ENSP00000004531,ENSG00000003989,SLC7A2
4,9606.ENSP00000004921,,
5,9606.ENSP00000004982,ENSG00000004776,HSPB6
6,9606.ENSP00000005178,ENSG00000004799,PDK4
7,9606.ENSP00000005226,ENSG00000006611,USH1C
8,9606.ENSP00000005257,ENSG00000006451,RALA
9,9606.ENSP00000005260,ENSG00000006453,BAIAP2L1
10,9606.ENSP00000005284,ENSG00000006116,CACNG3
11,9606.ENSP00000005340,ENSG00000004975,DVL2
12,9606.ENSP00000005386,ENSG00000005175,RPAP3
13,9606.ENSP00000005558,ENSG00000006652,IFRD1
14,9606.ENSP00000005587,ENSG00000005020,SKAP2
15,9606.ENSP00000005905,,
16,9606.ENSP00000006015,ENSG00000005073,HOXA11
17,9606.ENSP00000006053,ENSG00000006210,CX3CL1
18,9606.ENSP00000006101,,
19,9606.ENSP00000006275,ENSG00000007255,TRAPPC6A
20,9606.ENSP00000007264,ENSG00000007376,RPUSD1
21,9606.ENSP00000007390,ENSG00000007520,TSR3
22,9606.ENSP00000007516,ENSG00000004779,NDUFAB1
23,9606.ENSP00000007699,ENSG00000006047,YBX2
24,9606.ENSP00000007722,ENSG00000005884,ITGA3
25,9606.ENSP00000008527,ENSG00000008405,CRY1
26,9606.ENSP00000008938,ENSG00000008438,PGLYRP1
27,9606.ENSP00000009105,ENSG00000008118,CAMK1G
28,9606.ENSP00000009180,ENSG00000010278,CD9
29,9606.ENSP00000009530,ENSG00000019582,CD74
30,9606.ENSP00000010404,ENSG00000008394,MGST1
31,9606.ENSP00000011619,ENSG00000010017,RANBP9
32,9606.ENSP00000011653,ENSG00000010610,CD4
33,9606.ENSP00000011684,ENSG00000008323,PLEKHG6
34,9606.ENSP00000012134,ENSG00000010818,HIVEP2
35,9606.ENSP00000012443,ENSG00000011485,PPP5C
36,9606.ENSP00000013034,ENSG00000239672,NME1
37,9606.ENSP00000013070,ENSG00000012963,UBR7
38,9606.ENSP00000013125,ENSG00000012983,MAP4K5
39,9606.ENSP00000013807,ENSG00000012061,ERCC1
40,9606.ENSP00000014914,ENSG00000013588,GPRC5A
41,9606.ENSP00000014930,ENSG00000013583,HEBP1
42,9606.ENSP00000016171,ENSG00000014919,COX15
43,9606.ENSP00000016946,ENSG00000015568,RGPD5
44,9606.ENSP00000017003,ENSG00000015532,XYLT2
45,9606.ENSP00000019103,ENSG00000080293,SCTR
46,9606.ENSP00000019317,ENSG00000017797,RALBP1
47,9606.ENSP00000020673,ENSG00000059915,PSD
48,9606.ENSP00000020926,ENSG00000019505,SYT13
49,9606.ENSP00000020945,ENSG00000019549,SNAI2
50,9606.ENSP00000023064,ENSG00000021488,SLC7A9
51,9606.ENSP00000023897,ENSG00000022355,GABRA1
52,9606.ENSP00000025008,ENSG00000023287,RB1CC1
53,9606.ENSP00000025301,ENSG00000023516,AKAP11
54,9606.ENSP00000026218,ENSG00000007541,PIGQ
55,9606.ENSP00000027335,ENSG00000079112,CDH17
56,9606.ENSP00000029410,ENSG00000027847,B4GALT7
57,9606.ENSP00000033079,ENSG00000031003,FAM13B
58,9606.ENSP00000035307,ENSG00000033100,CHPF2
59,9606.ENSP00000035383,ENSG00000033122,LRRC7
60,9606.ENSP00000037243,ENSG00000034713,GABARAPL2
61,9606.ENSP00000037869,ENSG00000035141,FAM136A
62,9606.ENSP00000039007,ENSG00000036473,OTC
63,9606.ENSP00000040584,ENSG00000037965,HOXC8
64,9606.ENSP00000040663,ENSG00000037757,MRI1
65,9606.ENSP00000040738,ENSG00000038219,BOD1L1
66,9606.ENSP00000040877,ENSG00000059588,TARBP1
67,9606.ENSP00000042931,ENSG00000039987,BEST2
68,9606.ENSP00000043402,ENSG00000040608,RTN4R
69,9606.ENSP00000044462,ENSG00000041357,PSMA4
70,9606.ENSP00000046087,ENSG00000042813,ZPBP
71,9606.ENSP00000046794,ENSG00000043462,LCP2
72,9606.ENSP00000052754,ENSG00000011465,DCN
73,9606.ENSP00000053243,ENSG00000048462,TNFRSF17
74,9606.ENSP00000053468,ENSG00000048544,MRPS10
75,9606.ENSP00000053469,ENSG00000048545,GUCA1A
76,9606.ENSP00000053867,ENSG00000030582,GRN
77,9606.ENSP00000054650,ENSG00000041988,THAP3
78,9606.ENSP00000054666,ENSG00000049245,VAMP3
79,9606.ENSP00000054668,ENSG00000049247,UTS2
80,9606.ENSP00000054950,ENSG00000049449,RCN1
81,9606.ENSP00000055077,ENSG00000049541,RFC2
82,9606.ENSP00000056217,ENSG00000050327,ARHGEF5
83,9606.ENSP00000056233,ENSG00000050344,NFE2L3
84,9606.ENSP00000057513,ENSG00000050730,TNIP3
85,9606.ENSP00000058691,,
86,9606.ENSP00000061240,ENSG00000038295,TLL1
87,9606.ENSP00000064724,ENSG00000013297,CLDN11
88,9606.ENSP00000064780,ENSG00000054967,RELT
89,9606.ENSP00000070846,ENSG00000057294,PKP2
90,9606.ENSP00000071281,ENSG00000022267,FHL1
